# Index	M_int	Con
0	4.770461e+11	1.949551e+01
1	2.578011e+11	3.370384e+01
2	2.881570e+11	4.667803e+01
3	4.719786e+11	1.389280e+01
4	3.096877e+11	7.654465e+01
5	3.955899e+11	6.070885e+01
6	2.134844e+11	1.337028e+01
7	2.598480e+11	6.288326e+01
8	1.796620e+11	2.228620e+01
9	2.167753e+11	3.528297e+01
10	1.754201e+11	2.255832e+01
11	4.469510e+11	4.825203e+01
12	3.245328e+11	3.874814e+01
13	3.654891e+11	3.217072e+01
14	2.699692e+11	1.901616e+01
15	1.303715e+11	6.893642e+00
16	3.798720e+11	2.694972e+01
17	2.195247e+11	1.025251e+01
18	1.890435e+11	4.055073e+01
19	3.575571e+11	3.170236e-03
20	3.694228e+11	2.036564e+01
21	2.395176e+11	3.763715e+01
22	4.425161e+11	2.438070e+00
23	3.926515e+11	3.883724e+01
24	2.665662e+11	3.062020e+00
25	1.962478e+11	3.633435e+01
26	3.410324e+11	3.085292e-03
27	2.954906e+11	6.541586e+01
28	3.143440e+11	8.317977e+00
29	5.067804e+11	8.787051e+00
30	2.666396e+11	5.655885e+01
31	1.781557e+11	1.707611e+01
32	3.400802e+11	1.200467e+01
33	2.617759e+11	4.209889e+01
34	2.972295e+11	2.284425e+00
35	2.986960e+11	3.366068e+01
36	3.636080e+11	1.080033e+01
37	4.063176e+11	1.754754e+01
38	4.188194e+11	3.868315e+01
39	4.882879e+11	2.701444e+01
40	2.517284e+11	5.549700e+01
41	3.522442e+11	2.959196e+01
42	3.810828e+11	4.102902e+01
43	1.536858e+11	2.213607e+00
44	4.309757e+11	3.308892e+01
45	4.459057e+11	3.622570e+01
46	2.191559e+11	1.290919e+01
47	4.522758e+11	5.189649e+01
48	1.720222e+11	1.003264e+01
49	3.868620e+11	6.132703e+01
50	2.854429e+11	2.030390e+01
51	4.804382e+11	2.042685e+01
52	2.836493e+11	7.281158e+00
53	2.397322e+11	1.634469e+01
54	4.144763e+11	1.212992e+01
55	1.663977e+11	1.516813e+01
56	3.786384e+11	7.739159e+00
57	3.595364e+11	1.067109e+01
58	2.075867e+11	3.585259e+01
59	2.636383e+11	2.791898e+01
60	3.224572e+11	1.062343e+01
61	1.376328e+11	1.220579e+01
62	3.868380e+11	5.372567e+00
63	2.592264e+11	2.600299e+01
64	2.711412e+11	5.381755e+00
65	2.470132e+11	2.895015e+01
66	4.559848e+11	1.690667e+01
67	2.903079e+11	8.619849e+00
68	2.964566e+11	1.942943e+00
69	4.646967e+11	4.418935e+01
70	2.380372e+11	4.355478e+01
71	5.002937e+11	1.014820e+01
72	2.522614e+11	3.062370e+01
73	1.681563e+11	2.142669e+01
74	2.550691e+11	3.748034e+01
75	5.019099e+11	3.149522e+01
76	3.101701e+11	4.229864e+01
77	4.222103e+11	3.258606e+01
78	2.003923e+11	1.841028e+00
79	4.223787e+11	1.206014e+01
80	2.114797e+11	8.775352e+00
81	3.131190e+11	2.725846e+01
82	4.846096e+11	1.631869e+01
83	4.472428e+11	5.950180e+01
84	4.162521e+11	9.505478e+00
85	2.903443e+11	6.674837e+00
86	1.766259e+11	3.960432e+01
87	2.743712e+11	1.822813e+01
88	2.828945e+11	3.643688e+01
89	2.999085e+11	9.057110e+00
90	2.405819e+11	4.507880e+01
91	3.945681e+11	3.823705e+00
92	2.208459e+11	1.850571e+01
93	3.134399e+11	6.951643e+01
94	2.680410e+11	1.904128e+01
95	3.790754e+11	5.369898e+01
96	2.537000e+11	2.606769e-03
97	1.959438e+11	3.365578e+01
98	2.092101e+11	4.662767e+01
99	3.481887e+11	2.254932e+01
100	2.372301e+11	4.120567e+01
101	4.199546e+11	3.598832e+01
102	3.213404e+11	2.995087e+01
103	2.584177e+11	7.162953e+00
104	2.305767e+11	9.270245e+00
105	2.378792e+11	2.669518e+01
106	3.135648e+11	3.021029e-01
107	4.168024e+11	5.041952e+01
108	2.843940e+11	7.897890e+00
109	4.278079e+11	3.656288e+01
110	2.068044e+11	6.733210e+01
111	1.685375e+11	9.482676e+00
112	2.927527e+11	5.382073e+01
113	2.320946e+11	2.806561e-03
114	2.825243e+11	1.240893e+01
115	3.169979e+11	2.923416e-03
116	1.820241e+11	4.062526e+01
117	2.442249e+11	4.412394e+01
118	1.358670e+11	7.655984e+00
119	1.946891e+11	6.159416e+01
120	1.567258e+11	1.388247e+01
121	1.750023e+11	3.303727e+01
122	4.245107e+11	2.805652e+01
123	3.163573e+11	9.783472e+00
124	2.054865e+11	1.308624e+00
125	2.974197e+11	1.009076e+00
126	3.197060e+11	4.081486e+01
127	3.032588e+11	2.324905e+01
128	2.978181e+11	3.204752e+01
129	3.968648e+11	1.523606e+01
130	2.407620e+11	5.152868e+01
131	4.430180e+11	4.210379e+01
132	3.201862e+11	4.146304e+01
133	3.876360e+11	3.233560e+01
134	4.389002e+11	3.634904e+01
135	4.533507e+11	1.153485e+01
136	2.205737e+11	7.896755e+00
137	3.335776e+11	5.183765e+01
138	4.926828e+11	3.210037e+00
139	4.104934e+11	1.709284e+01
140	2.008332e+11	1.880292e+01
141	1.984880e+11	2.897241e+00
142	4.154042e+11	2.715689e+01
143	2.495619e+11	6.125867e+01
144	2.870833e+11	3.782610e+01
145	1.972102e+11	7.234466e+00
146	2.836100e+11	1.332831e+01
147	1.936358e+11	1.311580e+01
148	3.562906e+11	1.218964e+01
149	3.307375e+11	4.108298e+01
150	3.464112e+11	4.824508e+00
151	3.040598e+11	3.201326e+01
152	2.060096e+11	2.601320e+01
153	1.394735e+11	5.486239e+01
154	1.885737e+11	1.152902e+01
155	3.951504e+11	5.580209e+01
156	3.311619e+11	2.814726e-03
157	3.468262e+11	2.969441e+01
