# Index	M_int	Con
0	8.886778e+09	5.463161e+02
1	4.091061e+10	7.591668e+01
2	3.222513e+10	3.023289e+02
3	4.465756e+10	1.051948e+02
4	1.200907e+10	5.751702e+02
5	4.574176e+10	5.988382e+02
6	4.500228e+10	7.096577e+01
7	2.513927e+10	8.307015e+02
8	3.073966e+10	1.071403e+02
9	1.337299e+10	3.445132e+02
10	2.314491e+10	6.860957e+01
11	6.701506e+08	6.043402e+02
12	4.627338e+09	2.434308e+02
13	3.265261e+10	3.767802e+02
14	1.894804e+09	2.627349e+02
15	1.822118e+10	1.529844e+01
16	1.398800e+10	7.846866e+02
17	9.360683e+09	5.881625e+01
18	7.289775e+08	5.677791e+02
19	1.846962e+10	3.170362e-03
20	9.290762e+09	8.188612e+02
21	8.950840e+09	3.837175e+02
22	3.930527e+10	1.063361e+01
23	1.929581e+10	5.013611e+02
24	2.215263e+10	1.825222e+01
25	1.896144e+10	3.210938e+02
26	2.707745e+10	1.948076e+00
27	8.851049e+09	7.023102e+02
28	7.137075e+10	4.644954e+01
29	4.668039e+10	1.318120e+02
30	9.496605e+09	3.871336e+02
31	3.021088e+10	7.041912e+01
32	8.737970e+08	1.498368e+02
33	3.452152e+09	2.697069e+02
34	4.542688e+10	4.064602e+01
35	2.727152e+09	3.793886e+02
36	6.729843e+08	2.760140e+02
37	8.537662e+10	1.263139e+02
38	4.265647e+10	1.918382e+02
39	4.463415e+10	3.749102e+02
40	7.620266e+09	4.716447e+03
41	2.325359e+10	1.396873e+02
42	5.516281e+08	4.724935e+02
43	1.052029e+10	8.905612e+00
44	1.184865e+10	3.180772e+03
45	3.044715e+10	5.236918e+02
46	8.304422e+09	7.381281e+01
47	6.928910e+08	4.769960e+02
48	6.903509e+09	4.890139e+01
49	6.376806e+09	5.268372e+02
50	1.714337e+10	2.145533e+02
51	3.332786e+10	3.578615e+02
52	3.195037e+10	5.852225e+01
53	3.983115e+10	1.197004e+02
54	3.939187e+08	2.129548e+02
55	9.577725e+09	6.726323e+01
56	7.858636e+08	1.046628e+02
57	2.944605e+10	7.347831e+01
58	1.400138e+10	2.060744e+02
59	8.756571e+09	1.973350e+02
60	1.881918e+10	1.181446e+02
61	1.287253e+10	5.947446e+01
62	3.899371e+10	3.552253e+01
63	4.025062e+09	2.548781e+02
64	6.667908e+10	3.516204e+01
65	3.550585e+10	2.304827e+02
66	4.267284e+10	1.669331e+02
67	2.093857e+10	7.906286e+01
68	1.348915e+11	1.369146e+01
69	1.955026e+10	5.209438e+02
70	6.563879e+09	2.145520e+02
71	8.655593e+10	1.203047e+02
72	9.572921e+08	2.051348e+02
73	8.602221e+09	5.689133e+01
74	3.070082e+08	6.959819e+02
75	1.622591e+10	2.513556e+02
76	8.462379e+08	2.279413e+02
77	1.692396e+09	1.992939e+02
78	1.465889e+10	1.119312e+01
79	1.853442e+10	1.290721e+02
80	7.237858e+09	5.450650e+01
81	4.943257e+10	2.619492e+02
82	3.529737e+10	9.813560e+01
83	1.713930e+10	3.058206e+02
84	2.761946e+10	7.169638e+01
85	7.755308e+09	2.542578e+01
86	3.491323e+10	1.129104e+02
87	1.558912e+10	9.783189e+01
88	2.596893e+10	4.018855e+02
89	5.229005e+10	3.385180e+01
90	1.483878e+10	4.835438e+02
91	2.292557e+10	2.744904e+01
92	2.607607e+10	7.324749e+01
93	4.144695e+10	6.220345e+02
