# Index	M_int	Con
0	8.436518e+10	5.463161e+02
1	6.376298e+10	7.591668e+01
2	1.911927e+10	3.023289e+02
3	7.230825e+10	1.051948e+02
4	6.523080e+10	5.751702e+02
5	6.927762e+10	5.988382e+02
6	1.180590e+10	7.096577e+01
7	3.075863e+10	8.307015e+02
8	2.889789e+10	1.071403e+02
9	4.265843e+10	3.445132e+02
10	7.776243e+09	6.860957e+01
11	6.779546e+10	6.043402e+02
12	4.297618e+09	2.434308e+02
13	2.242778e+10	3.767802e+02
14	3.144983e+10	2.627350e+02
15	8.847102e+08	1.529844e+01
16	6.388872e+10	7.846866e+02
17	5.260377e+09	5.881625e+01
18	3.980080e+10	5.677791e+02
19	1.468547e+10	3.170236e-03
20	9.510728e+10	8.188613e+02
21	3.388950e+10	3.837175e+02
22	4.655818e+10	1.063361e+01
23	1.411576e+11	5.013611e+02
24	2.636820e+09	1.825222e+01
25	1.144963e+10	3.210938e+02
26	1.177220e+10	1.948076e+00
27	5.131816e+10	7.023102e+02
28	6.605948e+10	4.644954e+01
29	1.105950e+11	1.318120e+02
30	1.165640e+10	3.871336e+02
31	1.288351e+10	7.041912e+01
32	6.694059e+10	1.498368e+02
33	1.267389e+10	2.697069e+02
34	5.363193e+10	4.064602e+01
35	3.756213e+10	3.793886e+02
36	5.272034e+10	2.760140e+02
37	3.539511e+10	1.263139e+02
38	6.042540e+10	1.918382e+02
39	1.488184e+11	3.749102e+02
40	2.800195e+10	4.716447e+03
41	4.296928e+10	1.396873e+02
42	8.118006e+10	4.724935e+02
43	4.517877e+08	8.905612e+00
44	9.348888e+10	3.180772e+03
45	1.820506e+11	5.236918e+02
46	5.485628e+09	7.381281e+01
47	1.013304e+11	4.769960e+02
48	2.462258e+09	4.890139e+01
49	7.101518e+10	5.268372e+02
50	5.349159e+09	2.145533e+02
51	8.763323e+10	3.578615e+02
52	5.465491e+09	5.852225e+01
53	1.839691e+10	1.197004e+02
54	6.294113e+10	2.129548e+02
55	1.951170e+09	6.726323e+01
56	7.131956e+10	1.046628e+02
57	3.829778e+10	7.347831e+01
58	1.027738e+10	2.060744e+02
59	3.295121e+10	1.973350e+02
60	4.972525e+10	1.181446e+02
61	2.704128e+09	5.947446e+01
62	5.515030e+10	3.552253e+01
63	2.205162e+10	2.548781e+02
64	4.780553e+10	3.516204e+01
65	3.329099e+10	2.304827e+02
66	5.455143e+10	1.669331e+02
67	1.431624e+10	7.906286e+01
68	3.381073e+10	1.369146e+01
69	1.423859e+11	5.209436e+02
70	2.450180e+10	2.145520e+02
71	6.511425e+10	1.203047e+02
72	3.532085e+10	2.051348e+02
73	2.007692e+09	5.689133e+01
74	4.804113e+10	6.959820e+02
75	5.658574e+10	2.513556e+02
76	7.833524e+10	2.279413e+02
77	4.950381e+10	1.992939e+02
78	1.887817e+09	1.119312e+01
79	1.022266e+11	1.290721e+02
80	4.596715e+09	5.450650e+01
81	8.755246e+10	2.619494e+02
82	4.602010e+10	9.813560e+01
83	1.022643e+11	3.058206e+02
84	2.421166e+10	7.169638e+01
85	2.661479e+09	2.542578e+01
86	2.305628e+10	1.129104e+02
87	1.113450e+10	9.783189e+01
88	5.248694e+10	4.018855e+02
89	7.225080e+10	3.385180e+01
90	2.511323e+10	4.835438e+02
91	2.619355e+10	2.744904e+01
92	1.538114e+10	7.324749e+01
93	7.054450e+10	6.220345e+02
94	3.349845e+10	1.256062e+02
95	4.075896e+10	1.252093e+03
96	2.935673e+10	3.276132e+00
97	2.096188e+10	1.183092e+02
98	3.343114e+10	6.533248e+02
99	5.976648e+10	5.684393e+02
100	1.640903e+10	7.517553e+02
101	6.252600e+10	2.870415e+02
102	5.081477e+10	3.750013e+02
103	2.540949e+10	8.570062e+01
104	1.043753e+10	3.292703e+01
105	5.523885e+10	3.386011e+02
106	3.381220e+09	3.500779e+00
107	9.684243e+10	4.365528e+02
108	1.209776e+10	7.890237e+01
109	1.716003e+10	1.643691e+02
110	4.285583e+10	2.758134e+02
111	4.154073e+09	2.293089e+01
112	9.868690e+10	4.831667e+02
113	1.753484e+09	7.862317e+00
114	3.824304e+10	6.226362e+01
115	1.024460e+10	1.550599e+00
116	3.231345e+10	1.056819e+03
117	6.951468e+10	3.562265e+02
118	5.646896e+08	1.781550e+01
119	3.678783e+10	3.274567e+02
120	3.224309e+09	6.491885e+01
121	1.693212e+10	2.276437e+02
122	1.557488e+11	6.510761e+02
123	3.545581e+10	7.719185e+01
124	1.081567e+10	3.897041e+01
125	3.048270e+10	1.066668e+01
126	6.165327e+10	4.417968e+02
127	5.274420e+10	5.959796e+01
128	2.087145e+10	2.899141e+02
129	1.274654e+11	3.489108e+02
130	2.663594e+10	2.238819e+02
131	5.050532e+10	2.307445e+02
132	5.175902e+10	4.795895e+02
133	6.287788e+10	4.052440e+02
134	8.842710e+10	1.531508e+02
135	5.004312e+10	4.606622e+01
136	1.875615e+10	2.810169e+01
137	4.736824e+10	3.274657e+02
138	1.891253e+10	5.717548e+01
139	1.056439e+11	5.782075e+02
140	5.028610e+09	8.786914e+01
141	1.652937e+09	2.520377e+01
142	1.016164e+11	3.036072e+02
143	1.478285e+10	4.575355e+02
144	6.323161e+10	1.416443e+02
145	4.259428e+09	3.207470e+01
146	4.569560e+10	1.465106e+02
147	4.129680e+09	7.339069e+01
148	9.686953e+10	1.109723e+02
149	7.858411e+10	4.596020e+02
150	1.910674e+10	1.362760e+01
151	6.550600e+10	2.956937e+02
152	5.660919e+09	9.130952e+01
153	1.350974e+10	3.173207e+02
154	1.091589e+10	8.512645e+01
155	1.584935e+10	4.474578e+02
156	3.130720e+10	8.911963e+00
157	1.124278e+11	1.402119e+02
158	2.356419e+10	6.764597e+02
159	5.663190e+10	5.817865e+01
160	5.166976e+10	2.785436e+03
161	3.925790e+10	2.267067e+02
162	6.230793e+10	1.215875e+02
163	3.674019e+10	2.761049e+02
164	3.421355e+10	8.267038e+00
165	2.361557e+10	5.814382e+00
166	3.832687e+10	2.521437e+02
167	4.311954e+10	2.100502e+00
168	1.551883e+10	1.379752e+02
169	4.781728e+09	3.553749e+01
170	4.164573e+10	1.451586e+03
171	6.448991e+09	1.387440e+02
172	3.449594e+10	5.758372e+02
173	3.519223e+10	6.554049e+01
174	6.054546e+09	8.159937e+01
175	9.542588e+10	6.145002e+02
176	5.733360e+10	1.129895e+02
177	8.430097e+10	3.997123e+02
178	8.719744e+09	9.425562e+01
179	3.457794e+10	1.306893e+02
180	2.781519e+10	4.106270e+02
181	1.834969e+10	5.361210e+01
182	4.066354e+10	4.023062e+02
183	1.173598e+10	1.910940e+02
184	1.402831e+11	8.178933e+02
185	5.354913e+10	1.711698e+02
186	4.904676e+10	3.300471e+02
187	2.043912e+10	3.230527e+01
188	1.309438e+10	1.757569e+02
189	1.835669e+10	1.455296e+02
190	6.940341e+10	4.375274e+02
191	3.361253e+10	1.092261e+03
192	4.897867e+10	4.350991e+02
193	4.901078e+10	6.877583e+01
194	5.125034e+09	6.048455e+00
195	2.648331e+10	4.936360e+02
196	9.822532e+10	1.616068e+03
197	6.597044e+10	4.892935e+02
198	5.703224e+10	1.341281e+02
199	4.043981e+10	2.728599e+02
200	3.997537e+10	6.329984e+02
201	1.280619e+10	4.975916e+02
202	2.924433e+10	1.848803e+02
203	1.188665e+10	9.232010e+00
204	3.466675e+10	1.956002e+02
205	5.630927e+10	1.450489e+02
206	8.763061e+09	2.577312e+01
207	5.174728e+10	7.350082e+01
208	3.767267e+09	2.387761e+01
209	1.291151e+11	7.660458e+02
210	2.118813e+10	1.999004e+02
211	8.947686e+10	3.112613e+02
212	1.355813e+10	2.111289e+02
213	3.196042e+09	6.948326e+01
214	5.961960e+10	7.136490e+02
215	8.113090e+09	2.140835e+02
216	3.775014e+10	1.727071e+03
217	1.418851e+11	1.596243e+02
218	3.604971e+09	6.094009e+01
219	3.218699e+10	1.542981e+02
220	1.269990e+11	5.228567e+02
221	7.035378e+10	6.965116e+02
222	9.608434e+09	5.298146e+01
223	2.971273e+10	5.772300e+02
224	8.242589e+10	3.905614e+02
225	7.381893e+10	8.274087e+01
226	4.822942e+10	3.885208e+02
227	3.656936e+10	3.186434e+03
228	5.160300e+10	4.267178e+02
229	2.162585e+10	5.506037e+02
230	4.556609e+10	7.443742e+01
231	2.962656e+10	1.532991e+03
232	5.586900e+10	2.036654e+01
233	1.579745e+11	6.132277e+02
234	1.231768e+10	2.897511e+02
235	3.003345e+10	2.138545e+02
236	9.197350e+09	5.025169e+01
237	3.536070e+10	7.091337e+02
238	5.827269e+10	5.470511e+02
239	3.761499e+09	1.166869e+01
240	7.150794e+10	5.680503e+02
241	1.424188e+10	1.068797e+02
242	4.395759e+10	3.518986e+02
243	1.314271e+09	1.363755e+01
244	7.339553e+10	3.327041e+02
245	4.974963e+10	2.158868e+02
246	1.306759e+10	1.511422e+02
247	8.705228e+10	3.361267e+02
248	7.777921e+09	5.421087e+01
249	1.564681e+10	1.410293e+02
250	3.182772e+10	1.348794e+02
251	3.682277e+10	1.581803e+02
252	3.730198e+10	3.174291e+02
253	6.705598e+09	3.224258e+01
254	1.667309e+10	1.804289e+02
255	9.258600e+10	6.173790e+02
256	6.404391e+10	6.850190e+02
257	6.390337e+10	2.757352e+02
258	1.602933e+10	8.272764e+01
259	8.995685e+10	1.512999e+02
260	4.189991e+10	9.207624e+01
261	1.229933e+09	1.168938e+01
262	6.517653e+10	3.135426e+02
263	1.110377e+10	1.298419e+00
264	6.691665e+10	2.409425e+03
265	4.681274e+10	3.396085e+01
266	1.943534e+10	3.660059e+02
267	1.514465e+10	3.728234e+01
268	6.327188e+10	3.127985e+02
269	3.878998e+10	6.789384e+02
270	2.147284e+10	2.849181e+02
271	2.050426e+10	4.851974e+02
272	7.585281e+10	1.083995e+02
273	6.102055e+10	3.726415e+05
274	1.271518e+10	7.302777e+00
275	1.572286e+10	2.796695e+02
276	6.678607e+10	5.873449e+01
277	7.637292e+10	2.740791e+02
278	2.758805e+10	8.563235e+02
279	4.090855e+09	1.298466e+01
280	8.049179e+10	9.058721e+02
281	1.251434e+10	2.909859e-03
282	1.407881e+11	6.482084e+02
283	1.452112e+10	3.546857e+02
284	7.454158e+10	3.057585e+02
285	7.035283e+10	1.178397e+03
286	1.575867e+10	2.016527e+02
287	9.053635e+10	1.012548e+03
288	4.384071e+09	2.075695e+02
289	2.567917e+09	2.730439e+01
290	4.557135e+10	6.787972e+02
291	6.175689e+09	1.514167e-01
292	9.683095e+10	6.129885e+02
293	9.793652e+10	3.656093e+02
294	2.453249e+09	1.594260e+01
295	2.053650e+10	1.376098e+03
296	1.682133e+10	2.314412e+01
297	1.705401e+10	7.489645e+01
298	1.065486e+11	4.377730e+02
299	5.600504e+10	2.143017e+01
300	2.359091e+10	4.127927e+01
301	1.352518e+10	7.567856e+01
302	2.239110e+10	2.323271e+02
303	2.996501e+10	1.765224e+01
304	2.419891e+10	2.922498e+02
305	5.021539e+10	3.509727e+02
306	2.347579e+10	3.005784e+02
307	3.177976e+10	3.484023e+01
308	5.222811e+10	1.423811e+03
309	3.368113e+10	6.189781e+02
310	7.060339e+10	1.422247e+02
311	1.360481e+10	5.071658e+02
312	1.206271e+10	1.485746e+02
313	8.981187e+10	1.110912e+03
314	2.515968e+09	5.494619e+01
315	5.864509e+10	5.500246e+02
316	3.446826e+09	6.163802e+01
317	1.334231e+10	1.389098e+01
318	8.487332e+10	1.813093e+02
319	5.093846e+09	1.746347e+02
320	5.812223e+10	2.011465e+02
321	2.244011e+10	5.058514e+01
322	4.108951e+10	2.089328e+02
323	2.007328e+10	1.197077e+02
324	6.295729e+10	3.955862e+02
325	7.628614e+10	2.885419e+02
326	1.757457e+10	9.527818e+01
327	1.405012e+11	3.624856e+02
328	1.437018e+09	1.068139e+01
329	8.493848e+10	2.658694e+02
330	4.892788e+09	1.347014e+01
331	2.029486e+10	7.044012e+02
332	2.723121e+10	4.407838e+01
333	8.998862e+10	2.464045e+02
334	8.021494e+09	4.330424e+02
335	4.820741e+10	6.284526e+01
336	2.433802e+10	2.913284e+03
337	6.793040e+10	7.037150e+01
338	8.447144e+09	2.605363e+02
339	1.656109e+10	3.565728e+01
340	6.181338e+10	4.596870e+02
341	9.473747e+09	5.444331e+01
342	6.833266e+09	6.056850e+01
343	2.076443e+10	6.301378e+02
344	8.590271e+10	4.498469e+02
345	6.003854e+10	5.630186e+02
346	1.154129e+10	8.991892e+01
347	7.042925e+10	5.489518e+02
348	5.885442e+09	1.386703e+02
349	1.110944e+10	2.826490e+02
350	5.125567e+10	2.898257e+02
351	5.580640e+09	5.685490e+01
352	7.034485e+10	8.075393e+02
353	7.082265e+10	2.356217e+02
354	2.648646e+09	7.582458e+01
355	2.892391e+10	4.456853e+02
356	2.569877e+09	7.316483e+00
357	3.937284e+10	7.187958e+01
358	1.361898e+11	9.079406e+02
359	6.186763e+09	4.350766e+01
360	3.361829e+10	1.370310e+02
361	3.187903e+10	1.406632e+02
362	1.376699e+10	2.161577e+02
363	1.438358e+11	2.268111e+02
364	2.813943e+10	8.722369e+02
365	2.013185e+10	6.136761e+00
366	9.832681e+10	6.540374e+02
367	2.768163e+10	1.193551e+02
368	6.485940e+10	3.182256e+02
369	2.199763e+10	3.453679e+05
370	1.258874e+11	3.251560e+02
371	6.873618e+10	2.960146e+02
372	4.600725e+10	1.605614e+02
373	4.577381e+09	9.048238e+00
374	1.079487e+10	2.965397e+02
375	6.908908e+10	2.072071e+02
376	2.570277e+10	2.251268e+02
377	4.470021e+09	8.071654e+01
378	6.548692e+10	3.818490e+02
379	1.098911e+09	3.147341e+01
380	1.271212e+11	1.036014e+03
381	1.606647e+11	1.116561e+03
382	7.843486e+09	1.442145e+02
383	1.058395e+11	2.201650e+02
384	1.573192e+10	4.271695e+02
385	4.850536e+10	6.005052e+02
386	5.750013e+10	3.133582e+02
387	1.315096e+11	3.181224e+02
388	4.424021e+09	5.685818e+01
389	6.866178e+09	4.282290e+01
390	6.449080e+10	2.554902e+02
391	1.032611e+10	2.178585e+01
392	5.535614e+10	9.387347e+02
393	1.066240e+11	1.205833e+01
394	1.083584e+10	2.150761e+02
395	1.864707e+10	3.083399e+01
396	5.920248e+10	1.671050e+02
397	4.227383e+10	3.184246e+05
398	4.698115e+09	1.717580e+01
399	4.260795e+10	1.029794e+02
400	1.483356e+11	7.802025e+02
401	3.577403e+10	6.722649e+01
402	1.304518e+10	2.600557e+01
403	5.808518e+10	2.155598e+02
404	4.984562e+10	4.894078e+02
405	4.418765e+10	7.959239e+01
406	2.486779e+10	2.082243e+02
407	2.436139e+10	8.723143e+01
408	8.288687e+10	6.419075e+02
409	2.581970e+10	8.654016e+01
410	4.771579e+10	5.740743e+02
411	2.124762e+09	3.986425e+01
412	2.129391e+10	1.839422e+02
413	4.534759e+10	1.153197e+02
414	1.925434e+10	2.841978e+02
415	3.599113e+10	3.792758e+02
416	2.066685e+09	2.422326e+01
417	7.094955e+09	6.167879e+01
418	6.598343e+10	4.791464e+02
419	3.162894e+09	3.798366e+01
420	3.627670e+10	6.047635e+01
421	1.502731e+11	2.351017e+02
422	8.524168e+09	3.386205e+02
423	4.965292e+10	7.095411e+02
424	8.860108e+09	9.734728e+01
425	2.973505e+10	3.094499e+02
426	9.512759e+10	3.361121e+02
427	1.291784e+10	3.407785e+03
428	3.985175e+10	3.827473e+02
429	3.367842e+10	4.360802e+01
430	3.018543e+10	1.419400e+02
431	1.016996e+11	3.762874e+02
432	3.745738e+10	1.845144e+02
433	2.745793e+10	3.633474e-03
434	5.067509e+10	3.250192e+02
435	1.165900e+11	4.522629e+02
436	4.564511e+10	5.679854e+02
437	3.083832e+10	8.784847e+02
438	6.288641e+10	3.415067e+01
439	5.158599e+10	3.653100e+02
440	5.044540e+10	1.676720e+02
441	1.149199e+11	4.137700e+02
442	4.914931e+09	5.570379e+01
443	9.889797e+10	5.244080e+02
444	2.832931e+10	7.786443e+01
445	1.087861e+10	2.025618e+02
446	3.458665e+10	1.295307e+03
447	7.513865e+09	5.170637e+01
448	5.570045e+10	2.668260e+02
449	8.601005e+09	1.845622e+01
450	7.946418e+10	5.796169e+02
451	2.762238e+10	5.065320e+00
452	6.952358e+10	2.667123e+02
453	5.895687e+10	6.714312e+02
454	1.047211e+10	3.460607e+01
455	3.962218e+10	9.133645e+02
456	1.467321e+10	1.993669e+02
457	4.654987e+10	1.009800e+03
458	1.779406e+10	4.753655e+01
459	1.372888e+10	6.429050e+02
460	3.437070e+10	2.446726e-03
461	4.461091e+10	1.926575e+02
462	1.903755e+10	6.176052e+02
463	1.880387e+10	1.367671e+01
464	3.976972e+10	1.074839e+03
465	5.677806e+10	2.159637e+02
466	3.057529e+10	5.015984e+03
467	1.281551e+10	4.590053e+01
468	2.616864e+10	4.606028e+02
469	5.237053e+10	6.211030e+02
470	7.495790e+10	2.507102e+02
471	1.099652e+10	4.723060e+02
472	7.237505e+10	1.641990e+02
473	4.751359e+10	4.707310e+02
474	2.807147e+10	3.699073e+02
475	7.478230e+10	5.299000e+02
476	2.440737e+09	5.347254e+01
477	3.048402e+09	3.337674e+01
478	1.691220e+11	9.271474e+02
479	7.537066e+09	2.519869e+02
480	6.441233e+10	3.384755e+02
481	8.510395e+10	4.831592e+02
482	7.564690e+08	3.085744e+01
483	7.612546e+10	1.600540e+02
484	4.896913e+09	6.603271e+01
485	1.081283e+10	1.950009e+01
486	1.700302e+10	2.396657e+02
487	2.342155e+10	1.305262e+02
488	1.497330e+11	6.133478e+02
489	3.261059e+10	1.870665e+02
490	3.672765e+10	2.744366e+02
491	3.206298e+10	2.222503e+01
492	1.643597e+10	1.794280e+02
493	3.624101e+10	9.263921e+01
