# Index	M_int	Con
0	9.208776e+10	5.463161e+02
1	1.026329e+11	7.591668e+01
2	5.012270e+10	3.023289e+02
3	1.118439e+11	1.051948e+02
4	7.538870e+10	5.751702e+02
5	1.128971e+11	5.988382e+02
6	5.545756e+10	7.096577e+01
7	5.512142e+10	8.307015e+02
8	5.819904e+10	1.071403e+02
9	5.446877e+10	3.445132e+02
10	3.015886e+10	6.860957e+01
11	6.807610e+10	6.043402e+02
12	8.659271e+09	2.434308e+02
13	5.327392e+10	3.767802e+02
14	3.307690e+10	2.627349e+02
15	1.884475e+10	1.529844e+01
16	7.711570e+10	7.846866e+02
17	1.422081e+10	5.881625e+01
18	4.035016e+10	5.677791e+02
19	3.210891e+10	3.170362e-03
20	1.029956e+11	8.188612e+02
21	4.245687e+10	3.837175e+02
22	8.476141e+10	1.063361e+01
23	1.594917e+11	5.013611e+02
24	2.426948e+10	1.825222e+01
25	2.978972e+10	3.210938e+02
26	3.727909e+10	1.948076e+00
27	5.939374e+10	7.023102e+02
28	1.337027e+11	4.644954e+01
29	1.526502e+11	1.318120e+02
30	2.035602e+10	3.871336e+02
31	4.207197e+10	7.041912e+01
32	6.767107e+10	1.498368e+02
33	1.575046e+10	2.697069e+02
34	9.671920e+10	4.064602e+01
35	3.991592e+10	3.793886e+02
36	5.320064e+10	2.760140e+02
37	1.187853e+11	1.263139e+02
38	1.027544e+11	1.918382e+02
39	1.903497e+11	3.749102e+02
40	3.459939e+10	4.716447e+03
41	6.504626e+10	1.396873e+02
42	8.139701e+10	4.724935e+02
43	1.083831e+10	8.905612e+00
44	1.047776e+11	3.180772e+03
45	2.121661e+11	5.236918e+02
46	1.342782e+10	7.381281e+01
47	1.017491e+11	4.769960e+02
48	9.091218e+09	4.890139e+01
49	7.662253e+10	5.268372e+02
50	2.191912e+10	2.145533e+02
51	1.193758e+11	3.578615e+02
52	3.675956e+10	5.852225e+01
53	5.693525e+10	1.197004e+02
54	6.324067e+10	2.129548e+02
55	1.116244e+10	6.726323e+01
56	7.184114e+10	1.046628e+02
57	6.678143e+10	7.347831e+01
58	2.370585e+10	2.060744e+02
59	4.104320e+10	1.973350e+02
60	6.756200e+10	1.181446e+02
61	1.526251e+10	5.947446e+01
62	9.287844e+10	3.552253e+01
63	2.546240e+10	2.548781e+02
64	1.121168e+11	3.516204e+01
65	6.790162e+10	2.304827e+02
66	9.565623e+10	1.669331e+02
67	3.438449e+10	7.906286e+01
68	1.655449e+11	1.369146e+01
69	1.614683e+11	5.209438e+02
70	3.027812e+10	2.145520e+02
71	1.476996e+11	1.203047e+02
72	3.610100e+10	2.051348e+02
73	1.032557e+10	5.689133e+01
74	4.817813e+10	6.959819e+02
75	7.215747e+10	2.513556e+02
76	7.876356e+10	2.279413e+02
77	5.077274e+10	1.992939e+02
78	1.630164e+10	1.119312e+01
79	1.184036e+11	1.290721e+02
80	1.151034e+10	5.450650e+01
81	1.360018e+11	2.619492e+02
82	7.938775e+10	9.813560e+01
83	1.180103e+11	3.058206e+02
84	5.054448e+10	7.169638e+01
85	1.012906e+10	2.542578e+01
86	5.657158e+10	1.129104e+02
87	2.593218e+10	9.783189e+01
88	7.788023e+10	4.018855e+02
89	1.251856e+11	3.385180e+01
90	3.902286e+10	4.835438e+02
91	4.740944e+10	2.744904e+01
92	4.014165e+10	7.324749e+01
93	1.106861e+11	6.220345e+02
94	5.212101e+10	1.256062e+02
95	7.070207e+10	1.252093e+03
96	7.824356e+10	3.276132e+00
97	6.947892e+10	1.183092e+02
98	5.415763e+10	6.533248e+02
99	6.086770e+10	5.684393e+02
100	4.014680e+10	7.517553e+02
101	1.151820e+11	2.870415e+02
102	5.119295e+10	3.750013e+02
103	3.295803e+10	8.570062e+01
104	3.232812e+10	3.292703e+01
105	5.731838e+10	3.386011e+02
106	1.610669e+10	3.500779e+00
107	1.614663e+11	4.365528e+02
108	2.246576e+10	7.890237e+01
109	5.444896e+10	1.643691e+02
110	6.510979e+10	2.758134e+02
111	1.809964e+10	2.293089e+01
112	9.930995e+10	4.831667e+02
113	2.258719e+10	7.862317e+00
114	6.309959e+10	6.226362e+01
115	1.979904e+10	1.550599e+00
116	5.785159e+10	1.056819e+03
117	8.327608e+10	3.562265e+02
118	5.394744e+09	1.781550e+01
119	4.329244e+10	3.274567e+02
120	8.814557e+09	6.491885e+01
121	1.780231e+10	2.276437e+02
122	1.907191e+11	6.510761e+02
123	4.341985e+10	7.719185e+01
124	5.561803e+10	3.897041e+01
125	4.986631e+10	1.066668e+01
126	9.877267e+10	4.417968e+02
127	8.368176e+10	5.959796e+01
128	7.610911e+10	2.899141e+02
129	1.663285e+11	3.489108e+02
