# sample_index  true_r0  true_r1  true_r2  true_r3  true_r4  true_r5  true_r6  true_r7  true_r8  true_r9  true_r10  true_r11  true_r12  true_r13  true_r14  true_r15  true_r16  true_r17  true_r18  true_r19  true_r20  true_r21  true_r22  true_r23  true_r24  true_r25  true_r26  true_r27  true_r28  true_r29  true_r30  true_r31  true_r32  true_r33  true_r34  true_r35  true_r36  true_r37  true_r38  true_r39  true_r40  true_r41  true_r42  true_r43  true_r44  true_r45  true_r46  true_r47  true_r48  true_r49  pred_r0  pred_r1  pred_r2  pred_r3  pred_r4  pred_r5  pred_r6  pred_r7  pred_r8  pred_r9  pred_r10  pred_r11  pred_r12  pred_r13  pred_r14  pred_r15  pred_r16  pred_r17  pred_r18  pred_r19  pred_r20  pred_r21  pred_r22  pred_r23  pred_r24  pred_r25  pred_r26  pred_r27  pred_r28  pred_r29  pred_r30  pred_r31  pred_r32  pred_r33  pred_r34  pred_r35  pred_r36  pred_r37  pred_r38  pred_r39  pred_r40  pred_r41  pred_r42  pred_r43  pred_r44  pred_r45  pred_r46  pred_r47  pred_r48  pred_r49
0.000000000000000000e+00 6.306322510926989555e+09 5.279664093616305351e+09 4.420143894182769775e+09 3.700552099309565067e+09 3.134560183546875477e+09 2.666453202101570129e+09 2.268252087268112183e+09 1.801673457955756426e+09 1.323229038012934685e+09 9.718381981534601450e+08 7.073384059620954990e+08 4.965441186621345282e+08 3.485687468681961894e+08 2.446915928047422171e+08 1.811533531563817263e+08 1.346243045188389122e+08 1.000461931915534288e+08 7.659133875621880591e+07 5.951271340641170740e+07 4.624234429778962582e+07 3.797867844169429690e+07 3.389570921492248029e+07 3.025168727096248791e+07 2.674944987182068452e+07 2.226499228864120319e+07 1.853233931870430335e+07 1.542545338310348615e+07 1.223252026214702055e+07 9.628499525850189850e+06 7.578814596872433089e+06 5.632690913766263984e+06 4.029135475383494049e+06 2.882091868261076510e+06 1.935152549520995002e+06 1.144841769164798781e+06 6.772916567992597120e+05 3.971884905016458943e+05 2.060093643713349302e+05 1.068506747390396631e+05 5.542013455081875873e+04 2.976950303504252952e+04 1.613165847933453733e+04 8.741509893113139697e+03 5.274726292055424892e+03 3.496883711510724424e+03 2.318261652788815354e+03 1.547466030348088680e+03 1.052610453397206811e+03 7.160019960837763620e+02 4.870356899282085692e+02 7.187250201846530914e+09 6.036119560928976059e+09 5.069357310598242760e+09 4.257434479737339973e+09 3.369226483868119240e+09 2.609311644413185596e+09 2.020792395604591608e+09 1.551192644820516825e+09 1.178712317506357908e+09 8.956738752471119165e+08 6.765903339196701050e+08 4.991566464144176245e+08 3.682543855101390481e+08 2.716808309006502628e+08 1.969487428125673532e+08 1.425946948281496763e+08 1.032413139721532762e+08 7.643141632403534651e+07 5.721691079771367460e+07 4.283284333439758420e+07 3.224800803175735474e+07 2.448719934579699486e+07 1.859410761775745451e+07 1.413316277308521233e+07 1.081145295329497196e+07 8.270442846940686926e+06 6.326645010619573295e+06 4.667784987486856990e+06 3.424772340365865733e+06 2.512769036015533842e+06 1.848784298833514331e+06 1.362788484637006419e+06 1.004547937274793047e+06 7.244434397492805729e+05 5.000593076444418402e+05 3.451743744803327718e+05 2.379800095577635511e+05 1.613730498552058998e+05 1.094262550369801902e+05 7.420139423628764052e+04 4.674180835101788398e+04 2.890677778648698222e+04 1.787696778272258598e+04 1.104631280251947101e+04 6.820503869758869769e+03 4.211294200068768987e+03 2.603343707296706725e+03 1.614613767082657887e+03 1.001395862384964403e+03 6.210734069322390951e+02
1.000000000000000000e+00 8.759017335890377045e+09 6.967072784202589989e+09 5.541729319507339478e+09 4.407986654068207741e+09 3.456681743435563564e+09 2.696700788041318893e+09 2.103808125822686911e+09 1.598729762601023912e+09 1.178990627474950075e+09 8.694520688801720142e+08 6.448687629598122835e+08 4.893940066018064618e+08 3.714034660300225616e+08 2.818598771507839561e+08 2.083785287742883861e+08 1.537661375141903460e+08 1.134667049676867872e+08 8.196335856063440442e+07 5.857911832988336682e+07 4.186642866480308771e+07 3.061325838653012738e+07 2.316509218941589445e+07 1.752905520113636181e+07 1.317629650086642243e+07 9.485181465623728931e+06 6.828069437409524806e+06 4.915302085790954530e+06 3.675207523810287006e+06 2.764068535821600351e+06 2.078814548898747889e+06 1.606051408564086072e+06 1.263245153426241362e+06 9.936097369894423755e+05 7.625363149130790262e+05 5.571064834440699778e+05 4.070201350748721743e+05 2.962172124418919557e+05 2.041919893161955697e+05 1.407560626109271252e+05 9.702765141805651365e+04 6.383122749172688054e+04 4.150478703122057050e+04 2.698753281425218302e+04 1.595245355487041161e+04 8.674934256531576466e+03 4.717423817991252690e+03 2.718373874769465147e+03 1.837041001915205243e+03 1.241447938431137345e+03 8.389540474209063632e+02 5.222048284954347610e+09 4.301164531239183426e+09 3.542674313849573135e+09 2.917940293345107079e+09 2.265004790379941940e+09 1.720668949537747860e+09 1.307150274682944298e+09 9.858413075933617353e+08 7.373815579003096819e+08 5.515406564357163906e+08 4.091893709974184036e+08 2.938443642780120969e+08 2.110135710697476566e+08 1.515316697838036716e+08 1.080063572063062638e+08 7.694196824616652727e+07 5.481220393616233766e+07 3.820797035432620347e+07 2.634583917648834363e+07 1.816645154077901319e+07 1.295926350281944685e+07 9.727892388060862198e+06 7.302258364690539427e+06 5.511650795271872543e+06 4.311372977606807835e+06 3.372480885034257546e+06 2.638052281488013454e+06 1.980928623743599048e+06 1.478167748845467577e+06 1.103007886067926185e+06 8.087755083996442845e+05 5.861476359703238122e+05 4.248015025002838229e+05 3.054134060549671995e+05 2.160907616908162599e+05 1.528918389381798916e+05 1.077995391026678699e+05 7.238231109619014023e+04 4.860131131577331689e+04 3.263349050120407992e+04 2.097354612012940561e+04 1.333301601675932761e+04 8.475882670720457099e+03 5.471659372388538031e+03 3.580107393424369548e+03 2.342464703327606458e+03 1.520757910862680319e+03 9.663282788113350534e+02 6.140295807508038024e+02 3.901700222421179660e+02
2.000000000000000000e+00 1.479399012373097539e+08 1.367452846898178756e+08 1.263977650958676487e+08 1.168332426048157066e+08 1.014190556505869031e+08 8.605079982951402664e+07 7.301133010753160715e+07 6.054465649151637405e+07 4.890915843450438976e+07 3.950977538548985869e+07 3.155907695078914613e+07 2.409713818669407070e+07 1.839952637696242332e+07 1.404907787280190922e+07 1.050137578168220259e+07 7.837623183252560906e+06 5.849551376859487966e+06 4.413681296504510567e+06 3.348493777943421155e+06 2.540376123170851264e+06 1.877260645838036202e+06 1.333577228942005429e+06 9.473528513451162726e+05 6.737624273046217859e+05 4.827931331033221213e+05 3.459516291286722408e+05 2.478960894233954314e+05 1.758328079831904033e+05 1.245229850415978144e+05 8.818589648612329620e+04 6.310445210257476720e+04 4.547035760199196375e+04 3.276398655822683213e+04 2.351494354655859206e+04 1.674359867211899109e+04 1.192212500693044421e+04 8.487197340202606938e+03 6.023593016173887918e+03 4.275106536362544830e+03 3.034158491148989469e+03 2.215595212250942495e+03 1.629419021749293279e+03 1.198326451401318991e+03 8.463265739256502229e+02 5.769241495461066052e+02 3.932778251138054770e+02 2.679877749665587316e+02 1.824215568954057005e+02 1.241759047564622875e+02 8.452759413147182954e+01 2.513267539461811185e+08 2.269676539660145044e+08 2.049694874818934202e+08 1.851034280192222893e+08 1.581648166332134306e+08 1.324546422709626704e+08 1.109237353324540406e+08 9.197461510966861248e+07 7.540174646741527319e+07 6.181513631296190619e+07 5.031578537871330231e+07 3.980133828904660791e+07 3.148408630960800499e+07 2.490488343764174730e+07 1.893264278257643059e+07 1.435174247935459390e+07 1.087922666471403092e+07 7.980730612494674511e+06 5.759209738999504596e+06 4.156072724201211240e+06 3.009911280410789419e+06 2.191541606034653727e+06 1.595679793699919712e+06 1.168584289554688847e+06 8.886753038519236725e+05 6.758124362404858693e+05 5.139362453279132023e+05 3.774789369175722240e+05 2.757739152954252204e+05 2.014715124991874618e+05 1.553046647861085366e+05 1.240782374425194284e+05 9.913037079758882464e+04 7.760607825662511459e+04 5.833652123005540489e+04 4.385158721680648159e+04 3.285556772147594165e+04 2.351455660498609723e+04 1.682924419436135213e+04 1.204460134678404756e+04 8.304069263353312635e+03 5.671947132967221478e+03 3.874122825678840400e+03 2.668455992696127396e+03 1.851554378836570550e+03 1.284733054310209809e+03 8.785630283063450179e+02 5.772485427617161804e+02 3.792737337956087345e+02 2.491969307692849895e+02
3.000000000000000000e+00 4.818558659926688075e+08 4.109985825657677054e+08 3.505609183009086847e+08 2.990106600192742348e+08 2.389059423011644185e+08 1.864001169204983115e+08 1.454338190725120902e+08 1.166119068301149905e+08 9.646564713430467248e+07 7.979992206625114381e+07 6.569089834664643556e+07 5.302732625768508017e+07 4.280497604402949661e+07 3.455324081825442612e+07 2.617908545852684230e+07 1.974484862737849727e+07 1.489200407461555302e+07 1.186248219037060440e+07 9.710901412500822917e+06 7.949567782690567896e+06 6.534603140244948678e+06 5.404835875336865894e+06 4.470394025831132196e+06 3.708237005348092876e+06 3.134502871440876275e+06 2.649536218127670232e+06 2.239603043637765571e+06 1.826864246828986797e+06 1.482047506823766744e+06 1.202314192910117330e+06 9.479271635004325071e+05 7.332736184444006067e+05 5.672273358229384758e+05 4.312463968293382204e+05 3.167001561325949733e+05 2.325793087938589160e+05 1.700411187424664968e+05 1.167825498301436455e+05 8.020509418951500265e+04 5.508406130286878761e+04 3.107685627607245260e+04 1.669148541286104955e+04 8.965053698248924775e+03 4.623473480762503641e+03 2.301159481872797642e+03 1.145315309592690483e+03 5.859359453109631204e+02 3.233171324736347856e+02 1.784051123463616477e+02 9.844323394744128564e+01 1.367759890106435716e+08 1.183229133265426755e+08 1.023594266753290147e+08 8.854964718783402443e+07 7.495388617145080864e+07 6.294547328883444518e+07 5.286093636949417740e+07 4.362964449360727519e+07 3.530450941710641980e+07 2.856792439290167019e+07 2.301964775462961569e+07 1.823914923107400909e+07 1.445141855424278043e+07 1.145028726855889708e+07 8.774971155108807608e+06 6.708740148390344344e+06 5.129041860430642031e+06 3.846303629135259893e+06 2.856649187490061391e+06 2.121632966927861795e+06 1.602183670947276521e+06 1.240501800090664299e+06 9.604671074436511844e+05 7.424858765418783296e+05 5.681693693416439928e+05 4.347778758588621859e+05 3.327032598666509148e+05 2.551545218450799584e+05 1.957476922360204626e+05 1.501723690360168985e+05 1.121726052812123671e+05 8.230998270694281382e+04 6.039739592597255978e+04 4.416729031363855756e+04 3.207871578733286151e+04 2.329878059661533916e+04 1.687763363354100511e+04 1.178582422464466435e+04 8.230161625156553782e+03 5.747206057473826149e+03 3.676692239591272937e+03 2.301154694024065975e+03 1.440238285056366976e+03 8.998202597498305977e+02 5.613141011838109762e+02 3.501516183636353503e+02 2.177442007810394955e+02 1.342449042901463656e+02 8.276543881870308894e+01 5.102702332780680194e+01
4.000000000000000000e+00 2.457596549275449276e+09 1.994760703186336994e+09 1.619090108239929438e+09 1.314169050158744097e+09 1.030890394320582628e+09 7.987024914187377691e+08 6.188103733558667898e+08 4.572500814835566282e+08 3.200620485671930909e+08 2.240343284372102618e+08 1.597914435322409272e+08 1.228645843634664416e+08 9.447130432713980973e+07 7.263954366922415793e+07 5.208202853227476031e+07 3.715645026525663584e+07 2.650821857791010290e+07 1.915525593174865842e+07 1.393079559419257008e+07 1.013126979762880132e+07 7.247257201933781616e+06 5.057270892353003845e+06 3.529057706385323312e+06 2.449245336766279768e+06 1.640617111383347074e+06 1.098960755690387450e+06 7.361344302506134845e+05 5.490134688730010530e+05 4.162803701307489537e+05 3.156376963062784052e+05 2.285953633657737810e+05 1.605694978163038322e+05 1.127869054269727494e+05 7.766685917635618534e+04 5.140148483660327474e+04 3.401853340571134322e+04 2.252399334899774476e+04 1.500491509866242086e+04 9.995895205149574394e+03 6.659012749844842801e+03 5.946623042538288246e+03 5.714116295683750650e+03 5.490700319666078030e+03 4.018302706402004333e+03 2.317270709015566808e+03 1.336321310563878797e+03 8.019174129857399294e+02 5.368848131792899494e+02 3.594451223466396073e+02 2.406490047906137590e+02 2.150188815510694027e+09 1.806126016209292173e+09 1.517118479501179218e+09 1.274356528939593554e+09 1.010357555010966897e+09 7.843981882122135162e+08 6.089730458480403423e+08 4.661875619225174785e+08 3.511989015519092083e+08 2.645730571245205700e+08 1.981941420096360743e+08 1.451599931444024742e+08 1.063170858433271348e+08 7.786803028416359425e+07 5.581036013234994560e+07 3.993916650093097240e+07 2.858137838577548042e+07 2.077190882368519902e+07 1.521332624228386581e+07 1.114222565286142193e+07 8.214914957454530522e+06 6.117292138537638821e+06 4.555283079864011146e+06 3.391303131282865535e+06 2.520785791214265395e+06 1.873722507012812188e+06 1.392754610694312025e+06 1.018099992843135726e+06 7.423185964620367158e+05 5.412404503751620650e+05 3.926887009705560631e+05 2.839741001431013574e+05 2.053567860566758318e+05 1.463987092339181108e+05 1.014287704346082464e+05 7.027244656534808746e+04 4.863041685291812610e+04 3.311440708789136988e+04 2.254893187732959996e+04 1.535447478974708065e+04 1.039326684020733592e+04 7.024593860898731691e+03 4.747777543792166398e+03 3.104747677612949246e+03 1.972516822431020501e+03 1.253184805589348798e+03 8.122228162361957402e+02 5.561165424061674685e+02 3.807644928899116508e+02 2.607036259313823052e+02
5.000000000000000000e+00 1.833021936425421953e+09 1.515072019736811161e+09 1.252272642991778851e+09 1.035057576113131285e+09 8.325233777512016296e+08 6.630178304714370966e+08 5.280243837842406631e+08 4.133932396549012661e+08 3.173901701608828902e+08 2.436820693992221355e+08 1.867494460874899924e+08 1.420749970007968843e+08 1.080876286150795668e+08 8.223076337327529490e+07 5.884671474499645084e+07 4.192878084436146915e+07 2.987461017514093593e+07 2.155803878447002545e+07 1.565578128893882409e+07 1.136947058206675574e+07 8.303634970461959019e+06 6.116317498772994615e+06 4.505176332879623398e+06 3.370792646355695557e+06 2.792173148564385716e+06 2.312877625383695122e+06 1.915856440619003493e+06 1.590916308553214883e+06 1.321590611135073472e+06 1.097858972247722792e+06 8.889756370878522284e+05 7.076670223018904217e+05 5.633367142592868768e+05 4.275035862888566335e+05 2.948334014819782460e+05 2.033356851670905016e+05 1.383109311397779966e+05 7.755023912586447841e+04 4.348202661148258630e+04 2.438015226713981247e+04 1.339280395793436583e+04 7.319538934372217227e+03 4.000331101692165248e+03 2.308710741843214691e+03 1.397483884542238684e+03 8.459098717564208982e+02 5.222079950921774980e+02 3.402936314797926798e+02 2.217502541401424594e+02 1.445021906445456636e+02 1.139203148990495443e+09 9.513671683575617075e+08 7.945022710222834349e+08 6.635018315266509056e+08 5.263976148476554751e+08 4.099072768368737698e+08 3.191959288273937106e+08 2.483551528015729487e+08 1.930555459288318753e+08 1.500691384634053409e+08 1.154583739656332880e+08 8.524310223002403975e+07 6.293511876376483589e+07 4.646509887827765942e+07 3.298286936179172248e+07 2.334697175044040382e+07 1.652618769873610511e+07 1.175319770044344664e+07 8.378379358535693958e+06 5.972607835303276777e+06 4.314681374543770216e+06 3.179835013433677144e+06 2.343475643952493090e+06 1.733943788283680798e+06 1.316379826731844107e+06 9.993725632488924311e+05 7.587061879049236886e+05 5.686153405904031824e+05 4.253062711705235997e+05 3.181156247194429743e+05 2.328605989224870573e+05 1.680191886363028898e+05 1.212332523433845345e+05 8.660569961756007979e+04 6.064498357532332011e+04 4.246618928190624865e+04 2.969740421764522762e+04 2.038772463849845371e+04 1.399648645682860661e+04 9.608803170034134382e+03 6.358953367458689172e+03 4.169831459306664328e+03 2.734332742240625521e+03 1.799696055534047446e+03 1.188392875582634588e+03 7.847311896877392883e+02 5.193850566910972475e+02 3.459625224044928018e+02 2.304457268582243046e+02 1.534999590652925008e+02
6.000000000000000000e+00 1.399362832957686186e+08 1.267159519201179296e+08 1.147445972756314427e+08 1.039042236154050231e+08 8.898786627629965544e+07 7.468392983770830929e+07 6.267921245224031806e+07 5.079240352434798330e+07 3.954380122189021856e+07 3.078634021181507036e+07 2.379369750754319504e+07 1.785922852904196829e+07 1.340489613064251468e+07 1.006153429198291153e+07 7.568057037937588990e+06 5.693381091598432511e+06 4.283079275391405448e+06 3.145223548095917795e+06 2.281926742857710458e+06 1.655586504470104817e+06 1.218640661985289305e+06 9.166633425498848082e+05 6.895155477627364453e+05 5.219034501244230196e+05 4.113994016781841055e+05 3.242926783887312631e+05 2.556293004499853123e+05 2.007222888251895492e+05 1.575145937586748623e+05 1.236078334507647523e+05 9.422321680641119019e+04 7.044675891355355270e+04 5.267009564766474068e+04 3.879173654153438838e+04 2.772415927567754989e+04 1.981424592116834174e+04 1.414864875185215351e+04 9.979480129775336536e+03 7.038836386940749435e+03 4.964709287239837067e+03 3.380687389053091465e+03 2.281895560877464504e+03 1.540233316932254638e+03 1.069375285123296635e+03 7.610181967791020270e+02 5.415766605847277333e+02 3.826809076051309830e+02 2.651682553809018259e+02 1.837410810531071945e+02 1.273183504491090616e+02 6.612605850572333485e+07 5.892995712442047149e+07 5.251696419174107164e+07 4.680185872345884889e+07 3.947399102459380776e+07 3.263340648627742752e+07 2.697825052032684535e+07 2.224858307007661462e+07 1.829684906218204647e+07 1.504701151304010488e+07 1.225606574439879321e+07 9.606372744148021564e+06 7.529528579893928953e+06 5.901686530951656401e+06 4.405196483001832850e+06 3.276715774484732654e+06 2.437318359847740270e+06 1.762361592561270576e+06 1.256412981645693537e+06 8.957149242872775067e+05 6.481114117784951814e+05 4.795050886752433144e+05 3.547617367737916065e+05 2.632391810763276299e+05 1.990767919404016866e+05 1.505534583690654254e+05 1.138572889685287955e+05 8.560574835535608872e+04 6.430668058823347383e+04 4.830690984805041808e+04 3.657074903581939725e+04 2.782954315377065723e+04 2.117767594502950305e+04 1.607124709115535734e+04 1.212883183196514983e+04 9.153524973743338705e+03 6.882978326076508893e+03 4.918416731131163942e+03 3.514586563410030521e+03 2.511442073120444547e+03 1.715035696863462817e+03 1.157972995597137924e+03 7.818504658442459458e+02 5.341640079105426366e+02 3.687317141832642733e+02 2.545343284665827639e+02 1.742092376502173465e+02 1.164637047889433603e+02 7.785921525240765106e+01 5.205104380550561416e+01
7.000000000000000000e+00 1.797807831407539368e+09 1.545491863901498079e+09 1.328587549602393389e+09 1.142124988288509607e+09 9.756922918792213202e+08 8.316134238081814051e+08 7.088104440447680950e+08 6.147026926693451405e+08 5.437530575142875910e+08 4.809925043148943782e+08 4.203131677863340974e+08 3.497840869644936919e+08 2.910898750518814921e+08 2.422446260864962637e+08 1.788483452718767524e+08 1.309186991621843725e+08 9.583373983283787966e+07 7.354043891816687584e+07 5.778026265742716193e+07 4.539759079322752357e+07 3.634931390636749566e+07 2.994158640261279792e+07 2.466342552198975533e+07 2.012206355895130709e+07 1.542606268808162026e+07 1.182599435487648100e+07 9.066094525184581056e+06 6.548582646351991221e+06 4.687017908826622181e+06 3.354639937223569490e+06 2.479131953479853459e+06 1.871642908168450464e+06 1.413013603725365363e+06 1.038817873395700473e+06 7.242223512259521522e+05 5.048989119726636563e+05 3.523627191420478048e+05 2.495270145939653448e+05 1.767035149569172645e+05 1.251332736414851970e+05 9.340345006915049453e+04 7.064292180455416383e+04 5.342867310993055435e+04 4.028131118946612696e+04 3.028505378135936553e+04 2.276947933064506651e+04 1.565869522652840169e+04 8.426976364293541337e+03 4.535111617988011858e+03 2.440642586201669928e+03 1.465273319550208807e+09 1.278878259477673292e+09 1.116194214924138308e+09 9.742049457772245407e+08 8.226366158213943243e+08 6.863513966610137224e+08 5.726443859153481722e+08 4.745110574496222138e+08 3.901262770283064842e+08 3.207480829761778712e+08 2.626902596796576679e+08 2.118400194205780625e+08 1.708331092398926616e+08 1.377641075203483701e+08 1.075257559544358552e+08 8.372892683382605016e+07 6.519864126056427509e+07 5.024572460147400945e+07 3.852196712185879052e+07 2.953369590562222898e+07 2.278668727417595685e+07 1.774907241491946951e+07 1.382515886576793715e+07 1.076410211973030120e+07 8.357403108028955758e+06 6.488807513454017229e+06 5.038003121592567302e+06 3.838556025048255455e+06 2.916206303514324129e+06 2.215483934365613852e+06 1.673198541685590753e+06 1.258670414578587282e+06 9.468399434172669426e+05 6.991355954719724832e+05 4.973783197168213665e+05 3.538443679974907427e+05 2.512961527963789704e+05 1.741939276412464969e+05 1.207480659350593778e+05 8.370036558958125534e+04 5.144997701900909306e+04 3.068991459939600099e+04 1.830653603149772607e+04 1.084744888687390267e+04 6.390298204891476416e+03 3.764563592168961804e+03 2.200388388287130510e+03 1.258664069164788316e+03 7.199798214894691455e+02 4.118421714349722720e+02
8.000000000000000000e+00 5.253991317926638126e+08 4.676020508960918784e+08 4.161629983212766051e+08 3.703825525141689777e+08 3.062309122609370351e+08 2.464990991088691354e+08 1.984182635674272478e+08 1.542145057158278227e+08 1.151519789293176383e+08 8.598398827521689236e+07 6.505077651287794858e+07 5.186116451428208500e+07 4.134586132488335669e+07 3.296262752113332972e+07 2.532837986472928151e+07 1.941108638870089129e+07 1.487620909043238685e+07 1.121396445042525977e+07 8.383749837322476320e+06 6.267833436206379905e+06 4.676667433403027244e+06 3.479087770686382428e+06 2.588178844979786314e+06 1.939923646222705953e+06 1.526772939784690505e+06 1.201612039833437884e+06 9.457015228972367477e+05 7.187633904578671791e+05 5.433576869439275470e+05 4.107576705777699244e+05 3.092457765814089798e+05 2.321849276253315911e+05 1.743268451790438266e+05 1.284159269809129328e+05 9.105887042149639456e+04 6.456923278427378682e+04 4.556966830468790431e+04 3.010109829048789834e+04 1.988331607409137723e+04 1.313394794724653912e+04 8.584522811909591837e+03 5.596166479457757305e+03 3.648086207233262485e+03 2.347314160596301008e+03 1.493198506982764457e+03 9.498693522511484844e+02 6.108571144346880146e+02 4.047821356167305566e+02 2.682273373636210181e+02 1.777398214463198087e+02 9.792532527097631991e+07 8.700687476608052850e+07 7.730580659918543696e+07 6.868638541514985263e+07 5.865634303090485930e+07 4.937414467193815857e+07 4.156082762952093035e+07 3.496067570293588936e+07 2.938631942979681492e+07 2.470077457792207599e+07 2.053805135120572522e+07 1.635087664636118151e+07 1.301735800211752765e+07 1.036345714179212227e+07 8.001970568433805369e+06 6.165098117206562310e+06 4.749884352826748975e+06 3.531705170640360564e+06 2.579675195025063120e+06 1.884280762490998488e+06 1.405558939628885128e+06 1.082023767732023960e+06 8.329607538522182731e+05 6.412887603131040232e+05 4.940279169057721738e+05 3.805829725802374305e+05 2.931886925038621994e+05 2.234807337084610190e+05 1.700687423571374384e+05 1.294222398816269997e+05 9.758771034967814921e+04 7.313341978637134889e+04 5.480707632636082417e+04 4.110896411215854459e+04 3.088835076291503356e+04 2.320881183602211968e+04 1.735756653823449960e+04 1.216222931287712527e+04 8.521921637642935821e+03 5.971203677374749532e+03 3.899036574978090357e+03 2.501471169444264888e+03 1.604847220905088079e+03 1.037629689081160450e+03 6.754609926068316099e+02 4.397017137563030929e+02 2.828788742738580595e+02 1.761875314238660906e+02 1.097361770436902475e+02 6.834779087286140964e+01
9.000000000000000000e+00 8.334655529805944443e+09 6.243142130966669083e+09 4.676476853550123215e+09 3.502953369156121254e+09 2.608036874234877110e+09 1.937467750176916122e+09 1.439312963731337547e+09 1.095309796334400892e+09 8.567894549947485924e+08 6.702105401110457182e+08 5.178688470965163708e+08 3.809902728320063353e+08 2.802902487887131572e+08 2.062063762994812131e+08 1.507724288359377384e+08 1.101921744333990216e+08 8.053405652550169826e+07 6.045027657129197568e+07 4.598455166743246466e+07 3.498046844435768574e+07 2.692727188378484547e+07 2.110030313629848510e+07 1.653427032508976571e+07 1.292017461547685601e+07 9.914419679287420586e+06 7.607924854149758816e+06 5.838013969421745278e+06 4.569857337950889952e+06 3.588138266877127811e+06 2.817316881056304555e+06 1.933879673136981437e+06 1.213690675442151027e+06 7.617046066086270148e+05 5.067341502395176212e+05 3.787946308547593653e+05 2.831570998255644226e+05 2.095839958248065668e+05 1.350787559550569276e+05 8.705946386105760757e+04 5.611060150936405262e+04 3.454952578263710893e+04 2.103203591234330088e+04 1.280325922274746335e+04 8.523460353527410916e+03 6.136355505957126297e+03 4.417790115009675901e+03 3.239624987754483300e+03 2.499026778777002164e+03 1.927733878041653497e+03 1.487042050172881545e+03 3.699089320223077297e+09 2.995753881735258579e+09 2.426148855305468559e+09 1.964847080391823053e+09 1.525207153213244677e+09 1.165826482777784824e+09 8.911257628726794720e+08 6.734105694598022699e+08 5.022819119105404019e+08 3.746408661730496883e+08 2.774819123063014150e+08 1.998305519984392524e+08 1.439093783811078966e+08 1.036373516407977045e+08 7.317013889395724237e+07 5.158654931608141214e+07 3.636964628695371747e+07 2.529178473314861581e+07 1.746782274786373973e+07 1.206418743359280936e+07 8.608425285515660420e+06 6.450581421694755554e+06 4.833636733529599383e+06 3.633356164045019541e+06 2.787239226097164676e+06 2.138161565434264950e+06 1.640237708013992058e+06 1.225859838021021802e+06 9.124969446266393643e+05 6.792380728429346345e+05 4.962416048695876379e+05 3.580563310538352816e+05 2.583506399900231336e+05 1.847405939170634665e+05 1.297490981146246195e+05 9.112685038306291972e+04 6.388410149470219039e+04 4.365169216940729530e+04 2.982698644373532807e+04 2.038063305454791043e+04 1.319027601009445243e+04 8.421647843492848551e+03 5.377002903163662268e+03 3.510587040471250020e+03 2.337240832729667545e+03 1.556063030827339844e+03 1.030406044250939431e+03 6.722761681135601748e+02 4.386185899579063516e+02 2.861714821700543325e+02
