# sample_index  true_r0  true_r1  true_r2  true_r3  true_r4  true_r5  true_r6  true_r7  true_r8  true_r9  true_r10  true_r11  true_r12  true_r13  true_r14  true_r15  true_r16  true_r17  true_r18  true_r19  true_r20  true_r21  true_r22  true_r23  true_r24  true_r25  true_r26  true_r27  true_r28  true_r29  true_r30  true_r31  true_r32  true_r33  true_r34  true_r35  true_r36  true_r37  true_r38  true_r39  true_r40  true_r41  true_r42  true_r43  true_r44  true_r45  true_r46  true_r47  true_r48  true_r49  pred_r0  pred_r1  pred_r2  pred_r3  pred_r4  pred_r5  pred_r6  pred_r7  pred_r8  pred_r9  pred_r10  pred_r11  pred_r12  pred_r13  pred_r14  pred_r15  pred_r16  pred_r17  pred_r18  pred_r19  pred_r20  pred_r21  pred_r22  pred_r23  pred_r24  pred_r25  pred_r26  pred_r27  pred_r28  pred_r29  pred_r30  pred_r31  pred_r32  pred_r33  pred_r34  pred_r35  pred_r36  pred_r37  pred_r38  pred_r39  pred_r40  pred_r41  pred_r42  pred_r43  pred_r44  pred_r45  pred_r46  pred_r47  pred_r48  pred_r49
0.000000000000000000e+00 1.369451761322102785e+09 1.255700225079389572e+09 1.151397296201334238e+09 1.055758139739069939e+09 9.419219696827365160e+08 8.320362248111351728e+08 7.349698825170704126e+08 6.469244050623768568e+08 5.671183991195503473e+08 4.971574361751112938e+08 4.303269913229098916e+08 3.540307742848544717e+08 2.912617420427674055e+08 2.396215485762554109e+08 1.976093979911197424e+08 1.629909740636627674e+08 1.344372175427390635e+08 1.137331561642518938e+08 9.744520535820454359e+07 8.348988428307792544e+07 7.090619361705097556e+07 5.942919931405480206e+07 4.980989037691527605e+07 4.173002665797037631e+07 3.486539897177089006e+07 2.913000884049474448e+07 2.433809564991196245e+07 2.095249652756552398e+07 1.812113744725002721e+07 1.567238643615151197e+07 1.296398271522657014e+07 1.040984296563644707e+07 8.358915076455079019e+06 6.717469482756030746e+06 5.407065118326527067e+06 4.352286715834617615e+06 3.509564106337330304e+06 2.902056354029678274e+06 2.399708575420031324e+06 1.984317512976030353e+06 1.621406602942745434e+06 1.320929796421993524e+06 1.076136931913721375e+06 8.821021992608431028e+05 7.269438999919466441e+05 5.990773338716450380e+05 4.917033307565232390e+05 3.990971760185019230e+05 3.239322289334116504e+05 2.629236568111006054e+05 1.713421296301277876e+09 1.596825936996502638e+09 1.488164690475749969e+09 1.386897654070128918e+09 1.248573361678753376e+09 1.109993738091979265e+09 9.867951186679328680e+08 8.616319451618082523e+08 7.370364657084041834e+08 6.304579987246438265e+08 5.352056934810132384e+08 4.407322387502117157e+08 3.629350521486269832e+08 2.988704716760711670e+08 2.399589650478842258e+08 1.923114879911041260e+08 1.541251372124075294e+08 1.246122109648546726e+08 1.011945598576458544e+08 8.217765229822324216e+07 6.747621124677838385e+07 5.633110120331898332e+07 4.702683959496977925e+07 3.931603793879137933e+07 3.317915327423009276e+07 2.800018185221801326e+07 2.362960191531488299e+07 1.997884689878585190e+07 1.689702899996313825e+07 1.429059397031293251e+07 1.201725186930854805e+07 1.006707604428011365e+07 8.433377379744458944e+06 7.047770265716185793e+06 5.861462366597929969e+06 4.874838392813662067e+06 4.051747623173885979e+06 3.338223784435506910e+06 2.750353445321845822e+06 2.266008680862873793e+06 1.846314835557900835e+06 1.500177790744881378e+06 1.218932632994930027e+06 9.848448874138353858e+05 7.917958641568570165e+05 6.365882572048753500e+05 5.106993787044676137e+05 4.072777119291445124e+05 3.247999538496182649e+05 2.590247561572126579e+05
1.000000000000000000e+00 1.470962031058527231e+09 1.308928030923502684e+09 1.164742905637320757e+09 1.036440510235931873e+09 8.988243426255030632e+08 7.722153215632458925e+08 6.634405351274355650e+08 5.621490923191856146e+08 4.688433858031611443e+08 3.910245936794305444e+08 3.240639800236062407e+08 2.618539218305173516e+08 2.115862317466668487e+08 1.709683519413954020e+08 1.357499153483485878e+08 1.076515364123440683e+08 8.536913825839245319e+07 6.903188536122137308e+07 5.636800418316043913e+07 4.602730866999712586e+07 3.779227066983299702e+07 3.128939125938615948e+07 2.590545601072965935e+07 2.140867230873983726e+07 1.748302603388852254e+07 1.427721415385681204e+07 1.165924271919373423e+07 9.819938452713938430e+06 8.310181401496913284e+06 7.032540505047596991e+06 5.997634575975327753e+06 5.141522904841868207e+06 4.407613942820890807e+06 3.726114933410513680e+06 3.063308920611896086e+06 2.518403675356140360e+06 2.069403530300566228e+06 1.688725722814233974e+06 1.378075626690481324e+06 1.124571271238506772e+06 9.190098021786282770e+05 7.512908663761529606e+05 6.141805719179071020e+05 5.085273056904493133e+05 4.257664521615073900e+05 3.564746076714002993e+05 2.988450123833221151e+05 2.514224853976668674e+05 2.115252506956944417e+05 1.779591495609783742e+05 2.289729033768264294e+09 2.091154129335955143e+09 1.909800473395833969e+09 1.744174567056499958e+09 1.526004282272557974e+09 1.314452126688478470e+09 1.132227748917464972e+09 9.566899089255436659e+08 7.907949373853869438e+08 6.536670107628630400e+08 5.357830000483471751e+08 4.246000014783791304e+08 3.364891406393458843e+08 2.666626033301400244e+08 2.083538695726395547e+08 1.626303610686875880e+08 1.269409317694993168e+08 1.003524356223379523e+08 7.983939612755006552e+07 6.351942665348684043e+07 5.107263985868733376e+07 4.172137953498300910e+07 3.408230933663024753e+07 2.790697232135887444e+07 2.319974603321618587e+07 1.928651413015491888e+07 1.603334910477462225e+07 1.333096461112239957e+07 1.108432323201530613e+07 9.216303928170870990e+06 7.644770889122739434e+06 6.331095729943689890e+06 5.243162119971756823e+06 4.336438476213214919e+06 3.577042377121703234e+06 2.950631546581486240e+06 2.433032079817856196e+06 1.996034748555593658e+06 1.637526586883174954e+06 1.343410140875398414e+06 1.088721821476882091e+06 8.796243513516287785e+05 7.106856721592801623e+05 5.721128815262506250e+05 4.590994386706860387e+05 3.684103284398207907e+05 2.953073810059023672e+05 2.359879607890322804e+05 1.885842387266735604e+05 1.507026671072953613e+05
2.000000000000000000e+00 2.478364593818260133e+08 2.362360772800469100e+08 2.251786696269939244e+08 2.146388216346563101e+08 1.979603785464722216e+08 1.804032122468548715e+08 1.644031963767118156e+08 1.495423113099637032e+08 1.357343410793054998e+08 1.232013280177637190e+08 1.120053428258291781e+08 1.024832503576515764e+08 9.377067503111107647e+07 8.579879604817563295e+07 7.559402444705736637e+07 6.642349887988082319e+07 5.836547578619173914e+07 5.055106120597928017e+07 4.346848524787721783e+07 3.737823034111572802e+07 3.247186766007619351e+07 2.864588571390220523e+07 2.527069822173646837e+07 2.220398379063321277e+07 1.900754115905158222e+07 1.627125223652205057e+07 1.392887418362618424e+07 1.190218716611334123e+07 1.016756311941185407e+07 8.685743077671824023e+06 7.381394708013969474e+06 6.251210332737240009e+06 5.294071401126202196e+06 4.487946947770055383e+06 3.812151130472358316e+06 3.238116762673069257e+06 2.747626577552862931e+06 2.297323909229901154e+06 1.920820386233075988e+06 1.606021223800953245e+06 1.326498368615872925e+06 1.092282282507668482e+06 8.994210719799656654e+05 7.429000153217503102e+05 6.152752195783251664e+05 5.095754314437601133e+05 4.175227323682445567e+05 3.321363350051168818e+05 2.642120691367213731e+05 2.101788034616324585e+05 2.275946895576580167e+08 2.164330334332685471e+08 2.058187651573437452e+08 1.957250398375762999e+08 1.828144924109818339e+08 1.696443927879700959e+08 1.574230774861177802e+08 1.452926074000264406e+08 1.332688392278151065e+08 1.222401044826051146e+08 1.117859105793616921e+08 1.009981598303113580e+08 9.125146663154193759e+07 8.244536510761636496e+07 7.306486846924272180e+07 6.466244301056319475e+07 5.722629252189063281e+07 5.016455902745243907e+07 4.376504009122440219e+07 3.818191112052434683e+07 3.328418443961281329e+07 2.897964534701788425e+07 2.523179878307097405e+07 2.193221261642774194e+07 1.885952529015423357e+07 1.621731926415643468e+07 1.394528441566238552e+07 1.194393659744464792e+07 1.022355001889916882e+07 8.750965323383862153e+06 7.432207236623477191e+06 6.279398808058097959e+06 5.305402303146102466e+06 4.471780713438922539e+06 3.751168031900677830e+06 3.146679702174476814e+06 2.637592561595963314e+06 2.187414003485216293e+06 1.814070941930475645e+06 1.504449261599858059e+06 1.233136488329242915e+06 1.007795309963105712e+06 8.236325795206369366e+05 6.715228218035460450e+05 5.463656058934190078e+05 4.445349668110206840e+05 3.608976815749018569e+05 2.912494574614295270e+05 2.350423701848365890e+05 1.896824676125671831e+05
3.000000000000000000e+00 3.949768111425934434e+08 3.616831075715472698e+08 3.311958236844074726e+08 3.032783984922336936e+08 2.746818506675565243e+08 2.477904603833423853e+08 2.235317408404249847e+08 2.004418837697423995e+08 1.785090408834995329e+08 1.589761434977949560e+08 1.413249487636137307e+08 1.247286635167591274e+08 1.100813383537724614e+08 9.715410004477052391e+07 8.337361674291436374e+07 7.140459420976512134e+07 6.115383107323960215e+07 5.234503195933221281e+07 4.479240821609859914e+07 3.832951779180143774e+07 3.258316964489285275e+07 2.742520293154452741e+07 2.308375041573935375e+07 1.943742658293280378e+07 1.641021815204503387e+07 1.385447083999099582e+07 1.169675871933739074e+07 9.930031024186765775e+06 8.437355914444359019e+06 7.169058651842413470e+06 6.049129720515598543e+06 5.080506317395485006e+06 4.266984778579900041e+06 3.575252611435622908e+06 2.981504392345484812e+06 2.486360939403922763e+06 2.067288709605775075e+06 1.648744707523197634e+06 1.314939271885312395e+06 1.048716202609527856e+06 8.601696709255225724e+05 7.104830798108838499e+05 5.868449257858844940e+05 4.766913868157949182e+05 3.815948904179358506e+05 3.054694597394634038e+05 2.441748552571497275e+05 1.943997918471579615e+05 1.547713790202470263e+05 1.232212212586234964e+05 3.682799019848589897e+08 3.433021312932245135e+08 3.200184227140252590e+08 2.983138802272682786e+08 2.720733659312577844e+08 2.461779638024028242e+08 2.227472345720510781e+08 2.002837553347539604e+08 1.787966704057863355e+08 1.596147890015523136e+08 1.419763146366202235e+08 1.244729398989077657e+08 1.091274471149073243e+08 9.567380447098532319e+07 8.246534847024543583e+07 7.099418332269842923e+07 6.111868996073555201e+07 5.237948680892398208e+07 4.478848865638399124e+07 3.829760156759058684e+07 3.265270651911077648e+07 2.771918471620044485e+07 2.353107240531931445e+07 1.995739695381079242e+07 1.682565467753078416e+07 1.418534972184616700e+07 1.195936506410052069e+07 1.002079479433912225e+07 8.388509972034370527e+06 7.022107626699554734e+06 5.852935902596846223e+06 4.864398448381637223e+06 4.042821014684116468e+06 3.357300287143259775e+06 2.783533551196350716e+06 2.307824254001609050e+06 1.912128458002762869e+06 1.569438215788997943e+06 1.288164664288155502e+06 1.057300749801360071e+06 8.573902636426065583e+05 6.931811861916388152e+05 5.604217557225921191e+05 4.526878357892942731e+05 3.653813108213917585e+05 2.949129438496738439e+05 2.375830308740252221e+05 1.903994634861644881e+05 1.525864686651009251e+05 1.222830673647237272e+05
4.000000000000000000e+00 8.560249752498208284e+08 7.565904342650724649e+08 6.687060562156521082e+08 5.910301919873666763e+08 5.166493242168427706e+08 4.498222118313465714e+08 3.916389952963919044e+08 3.352911146415187716e+08 2.815821473770944476e+08 2.364766087114123106e+08 1.981923147422325015e+08 1.647584238777772486e+08 1.369646359597457647e+08 1.138594984223805219e+08 9.423455038469301164e+07 7.796755618892860413e+07 6.450860956260446459e+07 5.397900717405045033e+07 4.542383836305383593e+07 3.822458395686744153e+07 3.198679066055097431e+07 2.654312267589435726e+07 2.202588464920558035e+07 1.825330483581438661e+07 1.499767206739123911e+07 1.232270920056490414e+07 1.012484880049126036e+07 8.544411668074378744e+06 7.240392867502661422e+06 6.135388943355728872e+06 5.098714769768019207e+06 4.182523946657593828e+06 3.430963949599414598e+06 2.797812436151058879e+06 2.254605091483826283e+06 1.816863794321321417e+06 1.466655733205500757e+06 1.213078677876339993e+06 1.003343760503352620e+06 8.298709062328735599e+05 7.053580343039018335e+05 6.036264602241847897e+05 5.165673115815009223e+05 4.264584985303382855e+05 3.411685013916987809e+05 2.729361631740982994e+05 2.141731131916793529e+05 1.593679654016648710e+05 1.185870066404438548e+05 8.824156164946425997e+04 1.100575268997556448e+09 9.927363086192791462e+08 8.954638598672896624e+08 8.077225718113015890e+08 7.034390245493135452e+08 6.048466389269782305e+08 5.200727338885586262e+08 4.432991753286287785e+08 3.741131139013710618e+08 3.157249771313535571e+08 2.648888854827850461e+08 2.170769344056465328e+08 1.778949515570211411e+08 1.457852437253311276e+08 1.177167106204113364e+08 9.495191152760139108e+07 7.658951269729200006e+07 6.289862188496933132e+07 5.212139954639922082e+07 4.319077603391148895e+07 3.593842348433426023e+07 3.008961635641083121e+07 2.519267471125023440e+07 2.109813989007331803e+07 1.769879689778896421e+07 1.484715777131447941e+07 1.245497618619737402e+07 1.041142307620008476e+07 8.698443290816755965e+06 7.267298152210948989e+06 6.055803561458226293e+06 5.037504951631756499e+06 4.190435815854611341e+06 3.481306542462287005e+06 2.884722699804016855e+06 2.390374117666397244e+06 1.980161220127591165e+06 1.633636276913780719e+06 1.347752626463797409e+06 1.111898142695281655e+06 9.058530509457869921e+05 7.356732759273599368e+05 5.974646421388328308e+05 4.829834337775324821e+05 3.888624053370727343e+05 3.130831405579515849e+05 2.519616932127056352e+05 2.025302580536558526e+05 1.627965938165553089e+05 1.308581305972124974e+05
5.000000000000000000e+00 8.051709797224628925e+08 7.415229581397969723e+08 6.829062538219261169e+08 6.289231457904148102e+08 5.452059070032819510e+08 4.623485735143606067e+08 3.920834324883375168e+08 3.301022068236771226e+08 2.756328002174091339e+08 2.301512652300173938e+08 1.929441900278224647e+08 1.643590118928126693e+08 1.400088014388323724e+08 1.192661373087487370e+08 9.994614656359030306e+07 8.365788672043071687e+07 7.002413050587761402e+07 5.863337696520802379e+07 4.910438372679281235e+07 4.112402569988267124e+07 3.490843689622986317e+07 3.023808749836962298e+07 2.619257740691936016e+07 2.256085445382947847e+07 1.873397315084162354e+07 1.555622597249996103e+07 1.291750364746362902e+07 1.087649947443069704e+07 9.177583400387171656e+06 7.744039088042209856e+06 6.476720450476285070e+06 5.384867826542184688e+06 4.477080913257084787e+06 3.709806815634407103e+06 3.053377900611353572e+06 2.513100295317516662e+06 2.070416250382629922e+06 1.728883304635074455e+06 1.443689152117837220e+06 1.205540224927240983e+06 9.933702884086432168e+05 8.158230813150622416e+05 6.700092682182231219e+05 5.398602890758386347e+05 4.277925698064952157e+05 3.389885985037460923e+05 2.709754672633943264e+05 2.218736273582672293e+05 1.816692374932389066e+05 1.487500440874060732e+05 1.189270154180271864e+09 1.078702304139498234e+09 9.784140776305716038e+08 8.874497659197402000e+08 7.779437153824776411e+08 6.735420080371313095e+08 5.831512326925202608e+08 5.001948032239724994e+08 4.244815601222958565e+08 3.602288422880279422e+08 3.038099979017676711e+08 2.499432107345495224e+08 2.056272309132316709e+08 1.691686602279803455e+08 1.364941110287248492e+08 1.099777131288504601e+08 8.861259503354209661e+07 7.277739724666684866e+07 6.034658958979404718e+07 5.003903702101447433e+07 4.172517468931057304e+07 3.508624540927851945e+07 2.950364201196489856e+07 2.481459272322643176e+07 2.089978410593929887e+07 1.760258492036533356e+07 1.482555964731805958e+07 1.245733904209310561e+07 1.046363251233756915e+07 8.789004215369844809e+06 7.356745700380382128e+06 6.143620773839900270e+06 5.130539745421068743e+06 4.276661441696696915e+06 3.551836802534236573e+06 2.949858164791171439e+06 2.449066737561254762e+06 2.023573819993200246e+06 1.672004662902510725e+06 1.381515991730483482e+06 1.128147417426093947e+06 9.185412550845604856e+05 7.478792436694962671e+05 6.055140806978134206e+05 4.878451282938290969e+05 3.930426670272501651e+05 3.164272266700126929e+05 2.542249377984788734e+05 2.042501831425529963e+05 1.640993117159736285e+05
6.000000000000000000e+00 1.739225223556559086e+08 1.605140527253488004e+08 1.481393023361819088e+08 1.367185771217227280e+08 1.251121030197816491e+08 1.141381840040528327e+08 1.041268169369930774e+08 9.478990167083390057e+07 8.607880595376552641e+07 7.816825108814184368e+07 7.064592734556372464e+07 6.263746318261855841e+07 5.553684326008456945e+07 4.924115381721066684e+07 4.335318287037189305e+07 3.815009229338009655e+07 3.357145763311598450e+07 2.939810557358647138e+07 2.568063528309239820e+07 2.243324920690658689e+07 1.957208832647378743e+07 1.704394035041698813e+07 1.484235600324974209e+07 1.295174271676304564e+07 1.145394230899883248e+07 1.012935458083765209e+07 8.957948403819436207e+06 7.697725155641468242e+06 6.585630060937156901e+06 5.634200029567703605e+06 4.866934023071919568e+06 4.231270929428509437e+06 3.678630857405038085e+06 3.132821206099592149e+06 2.560077191571858712e+06 2.092042537903487682e+06 1.712939464202973060e+06 1.441684642049727263e+06 1.213384740417055320e+06 1.021237575357467518e+06 8.286759648660009261e+05 6.663081484778177692e+05 5.357541035955208354e+05 4.387917814301863546e+05 3.652193129792067339e+05 3.039827823079365189e+05 2.509950546778862772e+05 2.027280752145914012e+05 1.637429571389647317e+05 1.322547751920002338e+05 2.080937629784070849e+08 1.959915485206398964e+08 1.845931686837943196e+08 1.738576902010412216e+08 1.604262163607718647e+08 1.469337489962571859e+08 1.345760504975312650e+08 1.225422159597148299e+08 1.108445210913219005e+08 1.002634705088378489e+08 9.041179006904387474e+07 8.052351690162707865e+07 7.171671713672594726e+07 6.387311079758904874e+07 5.588648180584659427e+07 4.883653387970667332e+07 4.267592026403474063e+07 3.699188355951104313e+07 3.193542791167855635e+07 2.757014398202486336e+07 2.376786186384374648e+07 2.044647164342466369e+07 1.758922216311475262e+07 1.511018134715597704e+07 1.286348975146128610e+07 1.095085259298320860e+07 9.322600229818979278e+06 7.894624534920679405e+06 6.679944688444375992e+06 5.652157470352016389e+06 4.755153585022486746e+06 3.985236664569821209e+06 3.339978612395635806e+06 2.794752544521397911e+06 2.331112570593827404e+06 1.944388896767653292e+06 1.620669343329480151e+06 1.337473794278025627e+06 1.103763798422631109e+06 9.108922566710907267e+05 7.429348356466514524e+05 6.041678997145417379e+05 4.913201448250415269e+05 3.991569496570464107e+05 3.240025988005186664e+05 2.629985125392058399e+05 2.130541941742594063e+05 1.716484462950431334e+05 1.382896461141907494e+05 1.114139197596704762e+05
7.000000000000000000e+00 5.928438313262467384e+08 5.605573872218686342e+08 5.300292720699451566e+08 5.011637267743355036e+08 4.719137099888674021e+08 4.437028042417396307e+08 4.171783407111196518e+08 3.912484338711770177e+08 3.658708360238419771e+08 3.421393085930165052e+08 3.169854886184661388e+08 2.829571654025846124e+08 2.525817752781551778e+08 2.254671766728177071e+08 1.935303368321568668e+08 1.656530281241186261e+08 1.417913396724398136e+08 1.186851640763095319e+08 9.824068097711335123e+07 8.131792607744660974e+07 6.808791764963193238e+07 5.800120996866627783e+07 4.940877139378208667e+07 4.206420802882828563e+07 3.567320845954135805e+07 3.025322147812100500e+07 2.565671688438887149e+07 2.179458229619114473e+07 1.851852881243296340e+07 1.573491543523831852e+07 1.333016426044848189e+07 1.127064298276844621e+07 9.529319426462482661e+06 8.013556385110934265e+06 6.666365935826475732e+06 5.545656966102747247e+06 4.617589489140388556e+06 3.894539959234699607e+06 3.284709810117700603e+06 2.770370480112785008e+06 2.305560526901048142e+06 1.912338038200198673e+06 1.586181203953419114e+06 1.314301765354146482e+06 1.088046033583318815e+06 9.007399992933881003e+05 7.375981973059726879e+05 5.861757476873265114e+05 4.658390007347901119e+05 3.702063339565885835e+05 8.887098200508539677e+08 8.394511842192509174e+08 7.929228132606710196e+08 7.489733764256615639e+08 6.944890681299233437e+08 6.396495641469708681e+08 5.891403964286255836e+08 5.383596739435906410e+08 4.875445074192733765e+08 4.415257275373267531e+08 3.978866066710210443e+08 3.515676145781474113e+08 3.106407341887812614e+08 2.744782560621653795e+08 2.357780141418373883e+08 2.021265515310195982e+08 1.732780004213832617e+08 1.483040204943949580e+08 1.268256626157633066e+08 1.084579409533625990e+08 9.279494152851432562e+07 7.945117928251607716e+07 6.802622842800937593e+07 5.819197597931998968e+07 4.949019273152198642e+07 4.208963753823389113e+07 3.579573023104343563e+07 3.035060948888565600e+07 2.572175239913570136e+07 2.179885536482300609e+07 1.834694923552943021e+07 1.537064353097335435e+07 1.287716445515278913e+07 1.076589504600764439e+07 8.963620423269087449e+06 7.463057251541944221e+06 6.208745644351080991e+06 5.107917492630599998e+06 4.202269283693390898e+06 3.457195062009214424e+06 2.815224881427646149e+06 2.286596851439633872e+06 1.857231795408893377e+06 1.502519972884574439e+06 1.211343540635072859e+06 9.765947873699519550e+05 7.852610185664396267e+05 6.268421977133329492e+05 5.003828428302851971e+05 3.994354405499402783e+05
8.000000000000000000e+00 2.999478023899216056e+08 2.737152798380701542e+08 2.497769739264162481e+08 2.279322394451140463e+08 2.075179681224867105e+08 1.887733919601203501e+08 1.717219662207555473e+08 1.552339322930492461e+08 1.393265931345697641e+08 1.250493321127775759e+08 1.120548988946326822e+08 9.976742672367928922e+07 8.882734742748029530e+07 7.908691153131215274e+07 6.940017921049469709e+07 6.083680933067282289e+07 5.333008374965343624e+07 4.598084207304798812e+07 3.931705537871253490e+07 3.361901987782087922e+07 2.876684931649063528e+07 2.464077307532216236e+07 2.110650669697976485e+07 1.809461759654287994e+07 1.559890383573110774e+07 1.344741327514298819e+07 1.159266867061985470e+07 1.006472102299128100e+07 8.747680815897220746e+06 7.602984671111490577e+06 6.626613811490179971e+06 5.786422146885054186e+06 5.052758801773640327e+06 4.375790878581619821e+06 3.727379624597501475e+06 3.175050922535868827e+06 2.694969415239742957e+06 2.176416815039546229e+06 1.757641524983877316e+06 1.419444891713686520e+06 1.156479751129402081e+06 9.443116469627771294e+05 7.710679635494729737e+05 6.199520635580051458e+05 4.917571472497492214e+05 3.900706297892425209e+05 3.122122562476018211e+05 2.561654114747309359e+05 2.101798270980673551e+05 1.724493539727202442e+05 3.635522506958271861e+08 3.412694057862128019e+08 3.203523210288615227e+08 3.007172862511664033e+08 2.763447500630154014e+08 2.519909140195630193e+08 2.297833439351946115e+08 2.081339333493526876e+08 1.870864371309136748e+08 1.681673641346583962e+08 1.505757274217586219e+08 1.327466540238259882e+08 1.170286503425844312e+08 1.031717530036483407e+08 8.914585500068952143e+07 7.691624105422611535e+07 6.636436587955837697e+07 5.693617723945065588e+07 4.870907584464365244e+07 4.167076513867706805e+07 3.561653319175107777e+07 3.039972746725069731e+07 2.594703490953890607e+07 2.212252288763559982e+07 1.872920018554975465e+07 1.585637141713396087e+07 1.342419921978764981e+07 1.130719668951563723e+07 9.516566158484052867e+06 8.009503499021876603e+06 6.706983259802141227e+06 5.597314604685230181e+06 4.671240343120645732e+06 3.892865925181049854e+06 3.235013934530698694e+06 2.688331773491815198e+06 2.232493272430520970e+06 1.836139339201624738e+06 1.510153564446495846e+06 1.242042877422405872e+06 1.010142154464833438e+06 8.192397361472378252e+05 6.644151442607289646e+05 5.382156221028056461e+05 4.355372507702682633e+05 3.524474002954339376e+05 2.846012288088246714e+05 2.284710759083712182e+05 1.834111284241587273e+05 1.472380777132353105e+05
9.000000000000000000e+00 1.286968752154568911e+09 1.185174980617055178e+09 1.091432664801744699e+09 1.005104968699252009e+09 8.842599230356309414e+08 7.651238769955979586e+08 6.620389909101283550e+08 5.688276793167704344e+08 4.848270409230856299e+08 4.132310507332648635e+08 3.486359897748163342e+08 2.823866191753033400e+08 2.287262503815596402e+08 1.852626649463547468e+08 1.470948215299679339e+08 1.166240492037370801e+08 9.246531394651912153e+07 7.446913254791720212e+07 6.044732664728281647e+07 4.906568901487074047e+07 4.006527411511757970e+07 3.300976666993728653e+07 2.719673631766203046e+07 2.239998588153382018e+07 1.840970013315425441e+07 1.513023538430246152e+07 1.243496749695157632e+07 1.009232293051366508e+07 8.175207386072560214e+06 6.622262908693283796e+06 5.480282325206790119e+06 4.600362226259385236e+06 3.861723056757956743e+06 3.207554775850824080e+06 2.608403403724994976e+06 2.121169798186656553e+06 1.727698540638679639e+06 1.438952527650330216e+06 1.198463926505282288e+06 9.981675945069730515e+05 8.087691010822353419e+05 6.508130925667227712e+05 5.237065571489909198e+05 4.304200053958485369e+05 3.603487367235424463e+05 3.016848901779812877e+05 2.492419676905068045e+05 1.985366499093942111e+05 1.581467267430289357e+05 1.259736536853430589e+05 1.583763704870653629e+09 1.454619549640182495e+09 1.336006140113073349e+09 1.227064772270755768e+09 1.081629690635590792e+09 9.392896968910956383e+08 8.156813208107514381e+08 6.949472075453882217e+08 5.793075820678340197e+08 4.829104585176158547e+08 3.987393832051831484e+08 3.169364191728733182e+08 2.519156572663756013e+08 2.002341622384996414e+08 1.557038126708454490e+08 1.208871615718074292e+08 9.385579956080742180e+07 7.401949158576488495e+07 5.883464088874955475e+07 4.676491143548768759e+07 3.763686594411221147e+07 3.086144652168116719e+07 2.530574365104855597e+07 2.078617322235092521e+07 1.726720149335061386e+07 1.434397011044667102e+07 1.191562388431156799e+07 9.901480122168123722e+06 8.228190996628025547e+06 6.837677422127225436e+06 5.670594124392046593e+06 4.696334178637390956e+06 3.889461004194559995e+06 3.215556822721821256e+06 2.649083399193582125e+06 2.182403621759951115e+06 1.797318572699056705e+06 1.473067650566834025e+06 1.207314238058466697e+06 9.895049075701382244e+05 8.029998440485396422e+05 6.500367929225597763e+05 5.262115992733676685e+05 4.243777928755971952e+05 3.411288246767715900e+05 2.742105665728552849e+05 2.201844202373354929e+05 1.762847415137370408e+05 1.411376429679629509e+05 1.129980626315291302e+05
