# sample_index  true_r0  true_r1  true_r2  true_r3  true_r4  true_r5  true_r6  true_r7  true_r8  true_r9  true_r10  true_r11  true_r12  true_r13  true_r14  true_r15  true_r16  true_r17  true_r18  true_r19  true_r20  true_r21  true_r22  true_r23  true_r24  true_r25  true_r26  true_r27  true_r28  true_r29  true_r30  true_r31  true_r32  true_r33  true_r34  true_r35  true_r36  true_r37  true_r38  true_r39  true_r40  true_r41  true_r42  true_r43  true_r44  true_r45  true_r46  true_r47  true_r48  true_r49  pred_r0  pred_r1  pred_r2  pred_r3  pred_r4  pred_r5  pred_r6  pred_r7  pred_r8  pred_r9  pred_r10  pred_r11  pred_r12  pred_r13  pred_r14  pred_r15  pred_r16  pred_r17  pred_r18  pred_r19  pred_r20  pred_r21  pred_r22  pred_r23  pred_r24  pred_r25  pred_r26  pred_r27  pred_r28  pred_r29  pred_r30  pred_r31  pred_r32  pred_r33  pred_r34  pred_r35  pred_r36  pred_r37  pred_r38  pred_r39  pred_r40  pred_r41  pred_r42  pred_r43  pred_r44  pred_r45  pred_r46  pred_r47  pred_r48  pred_r49
0.000000000000000000e+00 6.306322510926989555e+09 5.279664093616305351e+09 4.420143894182769775e+09 3.700552099309565067e+09 3.134560183546875477e+09 2.666453202101570129e+09 2.268252087268112183e+09 1.801673457955756426e+09 1.323229038012934685e+09 9.718381981534601450e+08 7.073384059620954990e+08 4.965441186621345282e+08 3.485687468681961894e+08 2.446915928047422171e+08 1.811533531563817263e+08 1.346243045188389122e+08 1.000461931915534288e+08 7.659133875621880591e+07 5.951271340641170740e+07 4.624234429778962582e+07 3.797867844169429690e+07 3.389570921492248029e+07 3.025168727096248791e+07 2.674944987182068452e+07 2.226499228864120319e+07 1.853233931870430335e+07 1.542545338310348615e+07 1.223252026214702055e+07 9.628499525850189850e+06 7.578814596872433089e+06 5.632690913766263984e+06 4.029135475383494049e+06 2.882091868261076510e+06 1.935152549520995002e+06 1.144841769164798781e+06 6.772916567992597120e+05 3.971884905016458943e+05 2.060093643713349302e+05 1.068506747390396631e+05 5.542013455081875873e+04 2.976950303504252952e+04 1.613165847933453733e+04 8.741509893113139697e+03 5.274726292055424892e+03 3.496883711510724424e+03 2.318261652788815354e+03 1.547466030348088680e+03 1.052610453397206811e+03 7.160019960837763620e+02 4.870356899282085692e+02 4.559169266962182999e+09 3.845735214067759991e+09 3.243941707515359402e+09 2.736318861283978462e+09 2.225729204393436909e+09 1.786639117419150352e+09 1.434172373526548624e+09 1.151222061544563532e+09 9.240790533051316738e+08 7.417527211141360998e+08 5.911949869624069929e+08 4.580244129241178632e+08 3.548513899151563048e+08 2.749187715144329667e+08 2.087561053690644503e+08 1.582890596851172745e+08 1.200224844763350934e+08 9.318094553906197846e+07 7.320116743003213406e+07 5.750543613955174387e+07 4.525274326857560128e+07 3.570249734704554081e+07 2.816775790255669132e+07 2.222905786189747974e+07 1.757267748209341988e+07 1.389168159119255282e+07 1.098175378383415751e+07 8.654901898353725672e+06 6.817867077776704915e+06 5.370749667199946940e+06 4.152863120496765710e+06 3.171596095063562039e+06 2.422189583031379152e+06 1.821915051251397701e+06 1.329314014263497200e+06 9.699001867862041108e+05 7.050402562360399170e+05 4.865467316386281746e+05 3.357648304112975602e+05 2.317105716884376889e+05 1.465190118758080644e+05 9.064659298151834810e+04 5.608012717231374700e+04 3.367451480894809356e+04 1.969922771450676009e+04 1.152383559940332634e+04 6.735453594614002213e+03 3.927326247886966939e+03 2.289955864245817793e+03 1.335233573481501026e+03
1.000000000000000000e+00 8.759017335890377045e+09 6.967072784202589989e+09 5.541729319507339478e+09 4.407986654068207741e+09 3.456681743435563564e+09 2.696700788041318893e+09 2.103808125822686911e+09 1.598729762601023912e+09 1.178990627474950075e+09 8.694520688801720142e+08 6.448687629598122835e+08 4.893940066018064618e+08 3.714034660300225616e+08 2.818598771507839561e+08 2.083785287742883861e+08 1.537661375141903460e+08 1.134667049676867872e+08 8.196335856063440442e+07 5.857911832988336682e+07 4.186642866480308771e+07 3.061325838653012738e+07 2.316509218941589445e+07 1.752905520113636181e+07 1.317629650086642243e+07 9.485181465623728931e+06 6.828069437409524806e+06 4.915302085790954530e+06 3.675207523810287006e+06 2.764068535821600351e+06 2.078814548898747889e+06 1.606051408564086072e+06 1.263245153426241362e+06 9.936097369894423755e+05 7.625363149130790262e+05 5.571064834440699778e+05 4.070201350748721743e+05 2.962172124418919557e+05 2.041919893161955697e+05 1.407560626109271252e+05 9.702765141805651365e+04 6.383122749172688054e+04 4.150478703122057050e+04 2.698753281425218302e+04 1.595245355487041161e+04 8.674934256531576466e+03 4.717423817991252690e+03 2.718373874769465147e+03 1.837041001915205243e+03 1.241447938431137345e+03 8.389540474209063632e+02 1.196609515412413025e+10 9.715369948922780991e+09 7.887987854743137360e+09 6.404321474497689247e+09 4.891178521907715797e+09 3.653367485315696716e+09 2.728809411265589714e+09 2.010648029420278311e+09 1.458601376504866600e+09 1.058125511979990840e+09 7.633247429196858406e+08 5.384778539853693247e+08 3.798624398360372186e+08 2.679691878323895931e+08 1.855824122317976654e+08 1.283562068397860527e+08 8.877627807596231997e+07 6.147384799574844539e+07 4.259322924386531115e+07 2.951146278570261598e+07 2.105783154936707765e+07 1.570347150174121745e+07 1.171056082521510310e+07 8.770242375156944618e+06 6.752781616213751025e+06 5.199406995346404612e+06 4.003362560747944750e+06 3.027729170039683115e+06 2.283559627391214482e+06 1.722295581603408558e+06 1.255112477913096780e+06 8.939447798178564990e+05 6.367057004264185671e+05 4.469163123975145863e+05 3.046719844682211988e+05 2.077011188556478301e+05 1.412953103248329426e+05 9.331963159083266510e+04 6.163370617346103973e+04 4.070648021128393157e+04 2.637865628363232463e+04 1.701287647495255442e+04 1.097243024208127463e+04 7.162335753550933987e+03 4.724762089648262190e+03 3.116773294621089917e+03 2.060461712928537963e+03 1.370227138537037263e+03 9.112144134505056172e+02 6.059664736800140190e+02
2.000000000000000000e+00 1.479399012373097539e+08 1.367452846898178756e+08 1.263977650958676487e+08 1.168332426048157066e+08 1.014190556505869031e+08 8.605079982951402664e+07 7.301133010753160715e+07 6.054465649151637405e+07 4.890915843450438976e+07 3.950977538548985869e+07 3.155907695078914613e+07 2.409713818669407070e+07 1.839952637696242332e+07 1.404907787280190922e+07 1.050137578168220259e+07 7.837623183252560906e+06 5.849551376859487966e+06 4.413681296504510567e+06 3.348493777943421155e+06 2.540376123170851264e+06 1.877260645838036202e+06 1.333577228942005429e+06 9.473528513451162726e+05 6.737624273046217859e+05 4.827931331033221213e+05 3.459516291286722408e+05 2.478960894233954314e+05 1.758328079831904033e+05 1.245229850415978144e+05 8.818589648612329620e+04 6.310445210257476720e+04 4.547035760199196375e+04 3.276398655822683213e+04 2.351494354655859206e+04 1.674359867211899109e+04 1.192212500693044421e+04 8.487197340202606938e+03 6.023593016173887918e+03 4.275106536362544830e+03 3.034158491148989469e+03 2.215595212250942495e+03 1.629419021749293279e+03 1.198326451401318991e+03 8.463265739256502229e+02 5.769241495461066052e+02 3.932778251138054770e+02 2.679877749665587316e+02 1.824215568954057005e+02 1.241759047564622875e+02 8.452759413147182954e+01 1.537485011311065555e+08 1.379691052463202775e+08 1.238091679751596898e+08 1.111024823081552386e+08 9.378844792636662722e+07 7.743228468110683560e+07 6.392854177140478790e+07 5.195569618084812164e+07 4.147256040026883036e+07 3.310461398047749698e+07 2.627768364324707165e+07 2.039713261089605838e+07 1.583256060141347721e+07 1.228947126928628236e+07 9.015630212545834482e+06 6.587302602903158404e+06 4.813036311297575012e+06 3.463491422064005397e+06 2.473436821238447912e+06 1.766393781051234808e+06 1.279317792294026818e+06 9.462930800115300808e+05 6.999594617315367796e+05 5.195799681769109447e+05 3.946315195472983178e+05 2.997306396677413723e+05 2.276514974239543080e+05 1.748292628777637146e+05 1.344921251868016843e+05 1.034616942239757918e+05 7.954794796210953791e+04 6.113963189970236272e+04 4.699121328197699040e+04 3.589356927532827103e+04 2.707877011401051641e+04 2.042872318611797164e+04 1.536542272436913481e+04 1.107954211553606729e+04 7.989123090980740926e+03 5.760715298274167253e+03 4.016230761499208256e+03 2.776528530924792904e+03 1.919488978806007708e+03 1.312457988686988756e+03 8.887906267173248125e+02 6.018850012341013098e+02 4.071464414994488834e+02 2.745846153733948540e+02 1.851832739151112435e+02 1.248898992075204717e+02
3.000000000000000000e+00 4.818558659926688075e+08 4.109985825657677054e+08 3.505609183009086847e+08 2.990106600192742348e+08 2.389059423011644185e+08 1.864001169204983115e+08 1.454338190725120902e+08 1.166119068301149905e+08 9.646564713430467248e+07 7.979992206625114381e+07 6.569089834664643556e+07 5.302732625768508017e+07 4.280497604402949661e+07 3.455324081825442612e+07 2.617908545852684230e+07 1.974484862737849727e+07 1.489200407461555302e+07 1.186248219037060440e+07 9.710901412500822917e+06 7.949567782690567896e+06 6.534603140244948678e+06 5.404835875336865894e+06 4.470394025831132196e+06 3.708237005348092876e+06 3.134502871440876275e+06 2.649536218127670232e+06 2.239603043637765571e+06 1.826864246828986797e+06 1.482047506823766744e+06 1.202314192910117330e+06 9.479271635004325071e+05 7.332736184444006067e+05 5.672273358229384758e+05 4.312463968293382204e+05 3.167001561325949733e+05 2.325793087938589160e+05 1.700411187424664968e+05 1.167825498301436455e+05 8.020509418951500265e+04 5.508406130286878761e+04 3.107685627607245260e+04 1.669148541286104955e+04 8.965053698248924775e+03 4.623473480762503641e+03 2.301159481872797642e+03 1.145315309592690483e+03 5.859359453109631204e+02 3.233171324736347856e+02 1.784051123463616477e+02 9.844323394744128564e+01 3.066611536954433918e+08 2.704673216830954552e+08 2.385452843208113015e+08 2.103908609646022618e+08 1.777281019112580717e+08 1.478003927205927074e+08 1.229122229599288553e+08 1.020353170246508420e+08 8.453426366047880054e+07 7.003498338612428308e+07 5.761940164419125766e+07 4.610078180854183435e+07 3.688483432165298611e+07 2.951123494143671915e+07 2.300887504022958130e+07 1.790610530316711217e+07 1.393499710731229931e+07 1.096408832503615879e+07 8.673973980058178306e+06 6.862205262878359295e+06 5.422531907015313394e+06 4.277398972721250728e+06 3.374095770310993772e+06 2.656156329209996387e+06 2.063576822242074180e+06 1.603199802084401483e+06 1.245531340389298508e+06 9.569059504111667629e+05 7.339007395598839503e+05 5.628664920466975309e+05 4.203669552157845465e+05 3.084289568140523043e+05 2.262985237566373544e+05 1.649951361061006319e+05 1.187917425183743762e+05 8.552663080611842452e+04 6.136240044684248278e+04 4.192812422708067606e+04 2.864893792289644625e+04 1.957544391122226079e+04 1.250048989256539608e+04 7.848660206857269259e+03 4.927924231140880693e+03 3.041678260356976807e+03 1.849569643591159320e+03 1.124677751450425149e+03 6.853628897660124721e+02 4.201307774474697112e+02 2.575422054422547262e+02 1.578746217714398483e+02
4.000000000000000000e+00 2.457596549275449276e+09 1.994760703186336994e+09 1.619090108239929438e+09 1.314169050158744097e+09 1.030890394320582628e+09 7.987024914187377691e+08 6.188103733558667898e+08 4.572500814835566282e+08 3.200620485671930909e+08 2.240343284372102618e+08 1.597914435322409272e+08 1.228645843634664416e+08 9.447130432713980973e+07 7.263954366922415793e+07 5.208202853227476031e+07 3.715645026525663584e+07 2.650821857791010290e+07 1.915525593174865842e+07 1.393079559419257008e+07 1.013126979762880132e+07 7.247257201933781616e+06 5.057270892353003845e+06 3.529057706385323312e+06 2.449245336766279768e+06 1.640617111383347074e+06 1.098960755690387450e+06 7.361344302506134845e+05 5.490134688730010530e+05 4.162803701307489537e+05 3.156376963062784052e+05 2.285953633657737810e+05 1.605694978163038322e+05 1.127869054269727494e+05 7.766685917635618534e+04 5.140148483660327474e+04 3.401853340571134322e+04 2.252399334899774476e+04 1.500491509866242086e+04 9.995895205149574394e+03 6.659012749844842801e+03 5.946623042538288246e+03 5.714116295683750650e+03 5.490700319666078030e+03 4.018302706402004333e+03 2.317270709015566808e+03 1.336321310563878797e+03 8.019174129857399294e+02 5.368848131792899494e+02 3.594451223466396073e+02 2.406490047906137590e+02 1.438260655154799461e+09 1.217742221620257139e+09 1.031034335119903088e+09 8.729530612658991814e+08 6.995654663155890703e+08 5.495182113376923800e+08 4.316540468787986040e+08 3.365514781040156484e+08 2.601756022316735387e+08 2.011322142394308746e+08 1.543656587037338614e+08 1.150895002629441172e+08 8.580660479799920321e+07 6.397432789384260774e+07 4.492468584628158808e+07 3.141281205513418838e+07 2.196486725778320804e+07 1.546715928050908633e+07 1.093006228351319581e+07 7.723865730924715288e+06 5.572027877153540030e+06 4.146117205212796107e+06 3.085104428469436243e+06 2.299670918693068437e+06 1.734005460452469299e+06 1.307480523599331733e+06 9.858707821747628041e+05 7.324985808558667777e+05 5.430118103677307954e+05 4.025425221361080767e+05 2.924660822248287150e+05 2.096589577362402924e+05 1.502973549091939931e+05 1.066665298392608383e+05 7.419639824055599456e+04 5.161043037742970046e+04 3.583203669498312956e+04 2.422794049141840151e+04 1.638179558288671251e+04 1.107660086149470590e+04 7.344315962916862190e+03 4.845863305335741643e+03 3.197355790868396980e+03 2.118402496956844516e+03 1.408636662065487599e+03 9.366762211456274372e+02 6.246687301077598704e+02 4.199541595366625870e+02 2.823280366246613653e+02 1.898043356738736804e+02
5.000000000000000000e+00 1.833021936425421953e+09 1.515072019736811161e+09 1.252272642991778851e+09 1.035057576113131285e+09 8.325233777512016296e+08 6.630178304714370966e+08 5.280243837842406631e+08 4.133932396549012661e+08 3.173901701608828902e+08 2.436820693992221355e+08 1.867494460874899924e+08 1.420749970007968843e+08 1.080876286150795668e+08 8.223076337327529490e+07 5.884671474499645084e+07 4.192878084436146915e+07 2.987461017514093593e+07 2.155803878447002545e+07 1.565578128893882409e+07 1.136947058206675574e+07 8.303634970461959019e+06 6.116317498772994615e+06 4.505176332879623398e+06 3.370792646355695557e+06 2.792173148564385716e+06 2.312877625383695122e+06 1.915856440619003493e+06 1.590916308553214883e+06 1.321590611135073472e+06 1.097858972247722792e+06 8.889756370878522284e+05 7.076670223018904217e+05 5.633367142592868768e+05 4.275035862888566335e+05 2.948334014819782460e+05 2.033356851670905016e+05 1.383109311397779966e+05 7.755023912586447841e+04 4.348202661148258630e+04 2.438015226713981247e+04 1.339280395793436583e+04 7.319538934372217227e+03 4.000331101692165248e+03 2.308710741843214691e+03 1.397483884542238684e+03 8.459098717564208982e+02 5.222079950921774980e+02 3.402936314797926798e+02 2.217502541401424594e+02 1.445021906445456636e+02 2.883506186682029724e+09 2.387699283785607338e+09 1.977144316915937662e+09 1.637182570040922165e+09 1.272959425535345316e+09 9.673635551346077919e+08 7.351312453726676702e+08 5.569707013439793587e+08 4.205380662323335409e+08 3.175252571161878705e+08 2.386833896676909924e+08 1.762584502334828675e+08 1.301600472574254572e+08 9.611815989311845601e+07 6.718997744975377619e+07 4.678444614410111308e+07 3.257605500235687941e+07 2.315472862365520746e+07 1.662849734672869183e+07 1.194170437081614695e+07 8.744130562343625352e+06 6.592079914879059419e+06 4.969678493970816955e+06 3.752677198520431295e+06 2.863849391570850741e+06 2.185541922133466695e+06 1.667892699756400194e+06 1.262672205761415185e+06 9.547216175071700709e+05 7.218764797201340552e+05 5.326359960014309036e+05 3.866509885743749328e+05 2.806775886118304334e+05 2.010497607478532009e+05 1.402212417410217749e+05 9.779666766205780732e+04 6.806568367565661902e+04 4.600945103715326695e+04 3.110039406681656328e+04 2.102251796767198175e+04 1.395706746957808173e+04 9.224679260273000182e+03 6.096890169829006481e+03 4.060280140541945912e+03 2.721966903416281184e+03 1.824776509707694686e+03 1.224956002935078232e+03 8.253482011348176002e+02 5.561013224020124426e+02 3.746887439168854144e+02
6.000000000000000000e+00 1.399362832957686186e+08 1.267159519201179296e+08 1.147445972756314427e+08 1.039042236154050231e+08 8.898786627629965544e+07 7.468392983770830929e+07 6.267921245224031806e+07 5.079240352434798330e+07 3.954380122189021856e+07 3.078634021181507036e+07 2.379369750754319504e+07 1.785922852904196829e+07 1.340489613064251468e+07 1.006153429198291153e+07 7.568057037937588990e+06 5.693381091598432511e+06 4.283079275391405448e+06 3.145223548095917795e+06 2.281926742857710458e+06 1.655586504470104817e+06 1.218640661985289305e+06 9.166633425498848082e+05 6.895155477627364453e+05 5.219034501244230196e+05 4.113994016781841055e+05 3.242926783887312631e+05 2.556293004499853123e+05 2.007222888251895492e+05 1.575145937586748623e+05 1.236078334507647523e+05 9.422321680641119019e+04 7.044675891355355270e+04 5.267009564766474068e+04 3.879173654153438838e+04 2.772415927567754989e+04 1.981424592116834174e+04 1.414864875185215351e+04 9.979480129775336536e+03 7.038836386940749435e+03 4.964709287239837067e+03 3.380687389053091465e+03 2.281895560877464504e+03 1.540233316932254638e+03 1.069375285123296635e+03 7.610181967791020270e+02 5.415766605847277333e+02 3.826809076051309830e+02 2.651682553809018259e+02 1.837410810531071945e+02 1.273183504491090616e+02 1.184397249540583342e+08 1.061610970095035732e+08 9.515539252250768244e+07 8.529064771534822881e+07 7.213571428074669838e+07 5.973497477226416022e+07 4.946602728789237142e+07 4.041492163564758003e+07 3.251606655693452433e+07 2.616099553196747601e+07 2.094656282047287747e+07 1.645054259494395554e+07 1.291955887882315181e+07 1.014647393300440907e+07 7.572837004515597597e+06 5.631470188315479085e+06 4.187790713437461294e+06 3.066753468771630898e+06 2.228630750670246314e+06 1.619561230926877121e+06 1.189426643291027052e+06 8.874614733229401754e+05 6.621575790948697831e+05 4.954501777567297686e+05 3.775832727294318029e+05 2.877567397201977437e+05 2.192998134049572691e+05 1.683206560984340031e+05 1.293336095902824018e+05 9.937688550756042241e+04 7.585633138038319885e+04 5.764831291957654321e+04 4.381081871476890228e+04 3.303051602792396443e+04 2.450912423158934325e+04 1.818612734029508647e+04 1.345256601654631049e+04 9.528062823100248352e+03 6.748450893999201980e+03 4.779732282862949432e+03 3.266335922301114351e+03 2.212241683156504678e+03 1.498319028144333060e+03 1.007700023997642575e+03 6.735876046376910153e+02 4.502532999072379880e+02 3.008640778961053002e+02 2.008505212304986003e+02 1.340835774103070150e+02 8.951137204425499760e+01
7.000000000000000000e+00 1.797807831407539368e+09 1.545491863901498079e+09 1.328587549602393389e+09 1.142124988288509607e+09 9.756922918792213202e+08 8.316134238081814051e+08 7.088104440447680950e+08 6.147026926693451405e+08 5.437530575142875910e+08 4.809925043148943782e+08 4.203131677863340974e+08 3.497840869644936919e+08 2.910898750518814921e+08 2.422446260864962637e+08 1.788483452718767524e+08 1.309186991621843725e+08 9.583373983283787966e+07 7.354043891816687584e+07 5.778026265742716193e+07 4.539759079322752357e+07 3.634931390636749566e+07 2.994158640261279792e+07 2.466342552198975533e+07 2.012206355895130709e+07 1.542606268808162026e+07 1.182599435487648100e+07 9.066094525184581056e+06 6.548582646351991221e+06 4.687017908826622181e+06 3.354639937223569490e+06 2.479131953479853459e+06 1.871642908168450464e+06 1.413013603725365363e+06 1.038817873395700473e+06 7.242223512259521522e+05 5.048989119726636563e+05 3.523627191420478048e+05 2.495270145939653448e+05 1.767035149569172645e+05 1.251332736414851970e+05 9.340345006915049453e+04 7.064292180455416383e+04 5.342867310993055435e+04 4.028131118946612696e+04 3.028505378135936553e+04 2.276947933064506651e+04 1.565869522652840169e+04 8.426976364293541337e+03 4.535111617988011858e+03 2.440642586201669928e+03 2.358314204508728504e+09 2.060673623253081799e+09 1.800597975220007420e+09 1.573346226098698616e+09 1.327635000621614695e+09 1.106172469826189995e+09 9.216520598119667768e+08 7.705985224482661486e+08 6.468790478920121193e+08 5.430227159951099157e+08 4.515750587804300785e+08 3.616679658676479459e+08 2.896610762518718839e+08 2.319905189670493305e+08 1.790836132310685813e+08 1.378792768124335110e+08 1.061554132805574834e+08 8.315574519248107076e+07 6.570461230108051002e+07 5.191578847189045697e+07 4.106641938524273038e+07 3.253867780309302360e+07 2.578178397393875197e+07 2.042814637771129236e+07 1.618691246193942614e+07 1.282623152418611385e+07 1.016328564813367277e+07 8.033526097423506901e+06 6.347675986519295722e+06 5.015604597681773826e+06 3.890621424218565226e+06 2.981073952718587127e+06 2.284160020365420729e+06 1.730334448886104627e+06 1.281247666159752524e+06 9.487157717379912501e+05 6.995959438746641390e+05 4.869364151419897680e+05 3.389200215743541485e+05 2.358968798635972198e+05 1.483769282117622497e+05 9.099454483793710824e+04 5.580387254308303091e+04 3.287999986901663215e+04 1.870641018299252755e+04 1.064263331290674796e+04 6.062701153385134603e+03 3.465922667178820575e+03 1.981397339394950450e+03 1.132724470092399997e+03
8.000000000000000000e+00 5.253991317926638126e+08 4.676020508960918784e+08 4.161629983212766051e+08 3.703825525141689777e+08 3.062309122609370351e+08 2.464990991088691354e+08 1.984182635674272478e+08 1.542145057158278227e+08 1.151519789293176383e+08 8.598398827521689236e+07 6.505077651287794858e+07 5.186116451428208500e+07 4.134586132488335669e+07 3.296262752113332972e+07 2.532837986472928151e+07 1.941108638870089129e+07 1.487620909043238685e+07 1.121396445042525977e+07 8.383749837322476320e+06 6.267833436206379905e+06 4.676667433403027244e+06 3.479087770686382428e+06 2.588178844979786314e+06 1.939923646222705953e+06 1.526772939784690505e+06 1.201612039833437884e+06 9.457015228972367477e+05 7.187633904578671791e+05 5.433576869439275470e+05 4.107576705777699244e+05 3.092457765814089798e+05 2.321849276253315911e+05 1.743268451790438266e+05 1.284159269809129328e+05 9.105887042149639456e+04 6.456923278427378682e+04 4.556966830468790431e+04 3.010109829048789834e+04 1.988331607409137723e+04 1.313394794724653912e+04 8.584522811909591837e+03 5.596166479457757305e+03 3.648086207233262485e+03 2.347314160596301008e+03 1.493198506982764457e+03 9.498693522511484844e+02 6.108571144346880146e+02 4.047821356167305566e+02 2.682273373636210181e+02 1.777398214463198087e+02 2.316146583415565193e+08 2.064100758416215181e+08 1.839482859764221311e+08 1.639308147903918028e+08 1.385015262724919319e+08 1.147685098699212223e+08 9.510227946403743327e+07 7.830089006892387569e+07 6.399575161171619594e+07 5.230408263231058419e+07 4.250290537741137296e+07 3.375172558317547292e+07 2.680237903094987944e+07 2.128387539618990943e+07 1.618209698670177162e+07 1.226505139606023394e+07 9.296167602482061833e+06 7.030775030592991039e+06 5.311715431871888228e+06 4.012974488078067079e+06 3.053432510458291974e+06 2.348257638891603798e+06 1.805939355045748875e+06 1.389717930869013304e+06 1.073691912701817229e+06 8.295311572186500998e+05 6.408932885271890555e+05 4.946715025069007534e+05 3.817536161878420971e+05 2.946113182868492440e+05 2.231849128938887734e+05 1.669986644649841182e+05 1.249571647629596264e+05 9.288326734296792711e+04 6.813497787515375239e+04 4.998074833980471885e+04 3.653584849079842388e+04 2.543366552606240293e+04 1.770511343823125571e+04 1.232504381011915757e+04 8.146933260791127395e+03 5.315924788526817792e+03 3.468674095230003786e+03 2.232028656188959758e+03 1.418873524711344999e+03 9.019606775856553895e+02 5.738375058163331914e+02 3.659090282148470124e+02 2.333228755040407520e+02 1.487789588004078780e+02
9.000000000000000000e+00 8.334655529805944443e+09 6.243142130966669083e+09 4.676476853550123215e+09 3.502953369156121254e+09 2.608036874234877110e+09 1.937467750176916122e+09 1.439312963731337547e+09 1.095309796334400892e+09 8.567894549947485924e+08 6.702105401110457182e+08 5.178688470965163708e+08 3.809902728320063353e+08 2.802902487887131572e+08 2.062063762994812131e+08 1.507724288359377384e+08 1.101921744333990216e+08 8.053405652550169826e+07 6.045027657129197568e+07 4.598455166743246466e+07 3.498046844435768574e+07 2.692727188378484547e+07 2.110030313629848510e+07 1.653427032508976571e+07 1.292017461547685601e+07 9.914419679287420586e+06 7.607924854149758816e+06 5.838013969421745278e+06 4.569857337950889952e+06 3.588138266877127811e+06 2.817316881056304555e+06 1.933879673136981437e+06 1.213690675442151027e+06 7.617046066086270148e+05 5.067341502395176212e+05 3.787946308547593653e+05 2.831570998255644226e+05 2.095839958248065668e+05 1.350787559550569276e+05 8.705946386105760757e+04 5.611060150936405262e+04 3.454952578263710893e+04 2.103203591234330088e+04 1.280325922274746335e+04 8.523460353527410916e+03 6.136355505957126297e+03 4.417790115009675901e+03 3.239624987754483300e+03 2.499026778777002164e+03 1.927733878041653497e+03 1.487042050172881545e+03 8.872868341376173019e+09 7.157784502234515190e+09 5.774218325940163612e+09 4.658089002988935471e+09 3.520591307092903137e+09 2.598544017547716618e+09 1.917982072366363525e+09 1.405106335502759457e+09 1.020609869901257753e+09 7.413278840331622362e+08 5.362379566620620489e+08 3.814971889842606187e+08 2.714095550207615495e+08 1.930896181769950092e+08 1.340147831856943220e+08 9.284945290293268859e+07 6.432887998951882124e+07 4.558594916882715374e+07 3.267045621759017929e+07 2.341420391429233924e+07 1.716575767935182899e+07 1.302073903396359459e+07 9.876618798744672909e+06 7.505564302966366522e+06 5.772633885793932714e+06 4.439813001967904158e+06 3.414721924588541035e+06 2.585431143149169628e+06 1.952821059929091018e+06 1.474999673538998468e+06 1.076977396428653039e+06 7.687964679247188615e+05 5.488026128064403310e+05 3.867292735650792602e+05 2.655645472349683405e+05 1.823614956736541353e+05 1.249805905143585987e+05 8.332998189590359107e+04 5.555971414596452814e+04 3.704407184244262316e+04 2.426633711670935736e+04 1.582600993406770976e+04 1.032140076306556693e+04 6.808129022875416013e+03 4.535483608454923342e+03 3.021477926379738619e+03 2.015821273569183631e+03 1.350317050224119384e+03 9.045227173823619751e+02 6.059031440986199186e+02
