# sample_index  true_r0  true_r1  true_r2  true_r3  true_r4  true_r5  true_r6  true_r7  true_r8  true_r9  true_r10  true_r11  true_r12  true_r13  true_r14  true_r15  true_r16  true_r17  true_r18  true_r19  true_r20  true_r21  true_r22  true_r23  true_r24  true_r25  true_r26  true_r27  true_r28  true_r29  true_r30  true_r31  true_r32  true_r33  true_r34  true_r35  true_r36  true_r37  true_r38  true_r39  true_r40  true_r41  true_r42  true_r43  true_r44  true_r45  true_r46  true_r47  true_r48  true_r49  pred_r0  pred_r1  pred_r2  pred_r3  pred_r4  pred_r5  pred_r6  pred_r7  pred_r8  pred_r9  pred_r10  pred_r11  pred_r12  pred_r13  pred_r14  pred_r15  pred_r16  pred_r17  pred_r18  pred_r19  pred_r20  pred_r21  pred_r22  pred_r23  pred_r24  pred_r25  pred_r26  pred_r27  pred_r28  pred_r29  pred_r30  pred_r31  pred_r32  pred_r33  pred_r34  pred_r35  pred_r36  pred_r37  pred_r38  pred_r39  pred_r40  pred_r41  pred_r42  pred_r43  pred_r44  pred_r45  pred_r46  pred_r47  pred_r48  pred_r49
0.000000000000000000e+00 1.692854781443673176e+02 1.788119268004847697e+02 1.883383754566022219e+02 1.978648241127196741e+02 2.057210604728911107e+02 2.129699469072640170e+02 2.202188333416369233e+02 2.263254831984301347e+02 2.311267198237036951e+02 2.359279564489772838e+02 2.398025682855434866e+02 2.399706809672804297e+02 2.401387936490173445e+02 2.403069063307542876e+02 2.383974306649943173e+02 2.363395558315559697e+02 2.342816809981176505e+02 2.323084736754788082e+02 2.303776001082397329e+02 2.284467265410006576e+02 2.270960227587689246e+02 2.266155736540482053e+02 2.261351245493274860e+02 2.258041804358063587e+02 2.264450187650824660e+02 2.270858570943585732e+02 2.277266954236347090e+02 2.292830106784513760e+02 2.309801685371973576e+02 2.326773263959433393e+02 2.334971254800684903e+02 2.337320187144463830e+02 2.339669119488243041e+02 2.336376822017291488e+02 2.321802064916879544e+02 2.307227307816467032e+02 2.292111336948810845e+02 2.269418373339736377e+02 2.246725409730662477e+02 2.224032446121588009e+02 2.203108256197514265e+02 2.182626259694690702e+02 2.162144263191867140e+02 2.144297798325082738e+02 2.128757423639832211e+02 2.113217048954581969e+02 2.098421352765119536e+02 2.085673522439074645e+02 2.072925692113029754e+02 2.060177861786984863e+02 2.412574376764806061e+02 2.510507860185853701e+02 2.608441343606901341e+02 2.706374827027948982e+02 2.773975846326797523e+02 2.830546878672118964e+02 2.887117911017440974e+02 2.925337446606774279e+02 2.942583843046407424e+02 2.959830239486040000e+02 2.970957172980131418e+02 2.957606254692054790e+02 2.944255336403978731e+02 2.930904418115901535e+02 2.899500253998180597e+02 2.866806572321199269e+02 2.834112890644217941e+02 2.798128348634176064e+02 2.760498376457603626e+02 2.722868404281031758e+02 2.684638338952355525e+02 2.645508133895522747e+02 2.606377928838690536e+02 2.568556792597672711e+02 2.539244603659453219e+02 2.509932414721233727e+02 2.480620225783014234e+02 2.457382636363187203e+02 2.435079600715420440e+02 2.412776565067653394e+02 2.394727865538734477e+02 2.379515390089048310e+02 2.364302914639361575e+02 2.349518783546647569e+02 2.335591341167877886e+02 2.321663898789107918e+02 2.307949678223445176e+02 2.297220563041275341e+02 2.286491447859105506e+02 2.275762332676935671e+02 2.261993939739332689e+02 2.247465727362871348e+02 2.232937514986410292e+02 2.218061966470737900e+02 2.202882498833255625e+02 2.187703031195773633e+02 2.172170923916669665e+02 2.155669057623106823e+02 2.139167191329543698e+02 2.122665325035980857e+02
1.000000000000000000e+00 2.213010086816049977e+02 2.281186563941994621e+02 2.349363041067939832e+02 2.417539518193884760e+02 2.456332858129085821e+02 2.484441420904016127e+02 2.512549983678946433e+02 2.529402894854664510e+02 2.533392204202712321e+02 2.537381513550760133e+02 2.537406899896214156e+02 2.521576594231292177e+02 2.505746288566370197e+02 2.489915982901448217e+02 2.456636288933074752e+02 2.422110210085883182e+02 2.387584131238691043e+02 2.347318309092310642e+02 2.304182615296335825e+02 2.261046921500361009e+02 2.218814325155040308e+02 2.177936374985701491e+02 2.137058424816362106e+02 2.096226833933827152e+02 2.055696578415517308e+02 2.015166322897207465e+02 1.974636067378897621e+02 1.937578360419871046e+02 1.901054891700733833e+02 1.864531422981596620e+02 1.836602715695750589e+02 1.814403849365432393e+02 1.792204983035113628e+02 1.772114861583643517e+02 1.756242229889869861e+02 1.740369598196095922e+02 1.724619568272203765e+02 1.710585963126653155e+02 1.696552357981102546e+02 1.682518752835551936e+02 1.670158940468198239e+02 1.658217576295393769e+02 1.646276212122589300e+02 1.634093532408874694e+02 1.621699701596864145e+02 1.609305870784853596e+02 1.598425318356410116e+02 1.591706281482776149e+02 1.584987244609142465e+02 1.578268207735508497e+02 2.451024018219500249e+02 2.568902147650027246e+02 2.686780277080555379e+02 2.804658406511082376e+02 2.880438693680551978e+02 2.940910674573272559e+02 3.001382655465993707e+02 3.034546092705539309e+02 3.036499765770029171e+02 3.038453438834518465e+02 3.033465698798432868e+02 3.000712306360047705e+02 2.967958913921662543e+02 2.935205521483277380e+02 2.882810144275240987e+02 2.829011768155086202e+02 2.775213392034931417e+02 2.709316601931376454e+02 2.637370604836121402e+02 2.565424607740865213e+02 2.496878953070386444e+02 2.433433812037071959e+02 2.369988671003757759e+02 2.307919560140118165e+02 2.254794645379363374e+02 2.201669730618608583e+02 2.148544815857853791e+02 2.106663928877799776e+02 2.066512892325545749e+02 2.026361855773291438e+02 1.990827870399839412e+02 1.958371919145587867e+02 1.925915967891336891e+02 1.895824000295980625e+02 1.870460000018413780e+02 1.845095999740846935e+02 1.819851108833556168e+02 1.796273749110123958e+02 1.772696389386692033e+02 1.749119029663260108e+02 1.731421918965461941e+02 1.715194870524072712e+02 1.698967822082682915e+02 1.678425354526152375e+02 1.654106895243873510e+02 1.629788435961594644e+02 1.606306879249652582e+02 1.585126804606136375e+02 1.563946729962620168e+02 1.542766655319103677e+02
2.000000000000000000e+00 3.794330325785674063e+01 4.145682724543623010e+01 4.497035123301567694e+01 4.848387522059516641e+01 5.199017828566205424e+01 5.549385556072439840e+01 5.899753283578671414e+01 6.196617572747398839e+01 6.432335075244685640e+01 6.668052577741971731e+01 6.922473178188843690e+01 7.251706170434054854e+01 7.580939162679266019e+01 7.910172154924477184e+01 8.198256211515885639e+01 8.483401058417734930e+01 8.768545905319585643e+01 9.030518835367296049e+01 9.280905806987935591e+01 9.531292778608575134e+01 9.796987957606150133e+01 1.008564544766913116e+02 1.037430293773211218e+02 1.066473048717764840e+02 1.096666342260978837e+02 1.126859635804192692e+02 1.157052929347406973e+02 1.186594454586825975e+02 1.216035707779507504e+02 1.245476960972189033e+02 1.274825477047548219e+02 1.304112168378025558e+02 1.333398859708502755e+02 1.362563873364215397e+02 1.391485531670398927e+02 1.420407189976582458e+02 1.449002315100853195e+02 1.473025975678346242e+02 1.497049636255839289e+02 1.521073296833332051e+02 1.542051486054675138e+02 1.562268307436980308e+02 1.582485128819285478e+02 1.598753968612419385e+02 1.611568324515027655e+02 1.624382680417636209e+02 1.636100534106282964e+02 1.644803006706534063e+02 1.653505479306785446e+02 1.662207951907036829e+02 9.953673847800700969e+01 1.029244433612007441e+02 1.063121482443944785e+02 1.096998531275882272e+02 1.142554538354837774e+02 1.192357439341799790e+02 1.242160340328761947e+02 1.280513097055274443e+02 1.305779974626987041e+02 1.331046852198699639e+02 1.357530549786725942e+02 1.388881527440006494e+02 1.420232505093287045e+02 1.451583482746567597e+02 1.476005935181004816e+02 1.499933492956953387e+02 1.523861050732901958e+02 1.543558632649908304e+02 1.561141226637443253e+02 1.578723820624978202e+02 1.597178933477591727e+02 1.616942824627823256e+02 1.636706715778054502e+02 1.657067090237257503e+02 1.681304606204776917e+02 1.705542122172296047e+02 1.729779638139815461e+02 1.752167517463671516e+02 1.774270837303887447e+02 1.796374157144102810e+02 1.818439508728426119e+02 1.840479548142154727e+02 1.862519587555883049e+02 1.885167891718669466e+02 1.909032725379572071e+02 1.932897559040474960e+02 1.956485844102496969e+02 1.976202448780188661e+02 1.995919053457880068e+02 2.015635658135571475e+02 2.033538168289482826e+02 2.050987154812448807e+02 2.068436141335415073e+02 2.080026303004489137e+02 2.086489992926407240e+02 2.092953682848325343e+02 2.099074857996859862e+02 2.104254117518589737e+02 2.109433377040319613e+02 2.114612636562049488e+02
3.000000000000000000e+00 5.701494208443699563e+01 6.110652001917409137e+01 6.519809795391118712e+01 6.928967588864827576e+01 7.242748690850203275e+01 7.521847359567090052e+01 7.800946028283976830e+01 8.078587624616622520e+01 8.354563995367267637e+01 8.630540366117915596e+01 8.905560530218943427e+01 9.176755867721504956e+01 9.447951205224066484e+01 9.719146542726629434e+01 9.971816400160447813e+01 1.022316300901792943e+02 1.047450961787540962e+02 1.069544484365145252e+02 1.090117437788677961e+02 1.110690391212210670e+02 1.131818988503659824e+02 1.153781051596984213e+02 1.175743114690308460e+02 1.197558985318006251e+02 1.218424604919131866e+02 1.239290224520257482e+02 1.260155844121383097e+02 1.283677875581324201e+02 1.307608585788775315e+02 1.331539295996226429e+02 1.354986349036310003e+02 1.378110963964815596e+02 1.401235578893320621e+02 1.423827417444779826e+02 1.445353703242147674e+02 1.466879989039515522e+02 1.487777710901443129e+02 1.499875537667210779e+02 1.511973364432978428e+02 1.524071191198746078e+02 1.528442742138349217e+02 1.530882724121411229e+02 1.533322706104473241e+02 1.533908959464156965e+02 1.532873200278384616e+02 1.531837441092612266e+02 1.528188575803137326e+02 1.517353668728481182e+02 1.506518761653824754e+02 1.495683854579168610e+02 4.828654197132394188e+01 5.279787543249810966e+01 5.730920889367227034e+01 6.182054235484643812e+01 6.608104055009656008e+01 7.025032592137432630e+01 7.441961129265207830e+01 7.811407928537008161e+01 8.126589884544830511e+01 8.441771840552652861e+01 8.752120006444009448e+01 9.043133011869494453e+01 9.334146017294979458e+01 9.625159022720464463e+01 9.837307092932363162e+01 1.004382195348614744e+02 1.025033681403993455e+02 1.037564225752788616e+02 1.046034299248291859e+02 1.054504372743795386e+02 1.066069577663473211e+02 1.082277479719412696e+02 1.098485381775352323e+02 1.113903785177021746e+02 1.124190447325935196e+02 1.134477109474848788e+02 1.144763771623762381e+02 1.160630039732767500e+02 1.177354708758709876e+02 1.194079377784652252e+02 1.207364039380028942e+02 1.218355362688361367e+02 1.229346685996694077e+02 1.241598672844180271e+02 1.256371986769973574e+02 1.271145300695766878e+02 1.285542195756427475e+02 1.294669226705228482e+02 1.303796257654029773e+02 1.312923288602830780e+02 1.319675240570095980e+02 1.325833422791976375e+02 1.331991605013857054e+02 1.334248263833181625e+02 1.333091089675269814e+02 1.331933915517358287e+02 1.330601478530374777e+02 1.328787068763444665e+02 1.326972658996514269e+02 1.325158249229583873e+02
4.000000000000000000e+00 1.190138133745163316e+02 1.244360836417434086e+02 1.298583539089704573e+02 1.352806241761975343e+02 1.390835209776354020e+02 1.422975547006044224e+02 1.455115884235734427e+02 1.476009180331082007e+02 1.484048715130037976e+02 1.492088249928993662e+02 1.498064601756172181e+02 1.495788221696241180e+02 1.493511841636309896e+02 1.491235461576378896e+02 1.481209966014984616e+02 1.470630962203485694e+02 1.460051958391986773e+02 1.449792184629419580e+02 1.439692025891317826e+02 1.429591867153216356e+02 1.418681700412362829e+02 1.406556521667380935e+02 1.394431342922398755e+02 1.382437379502786712e+02 1.371296315698077422e+02 1.360155251893368415e+02 1.349014188088659125e+02 1.342137903604805729e+02 1.335917739016468317e+02 1.329697574428130906e+02 1.325297939032581951e+02 1.322111989765558633e+02 1.318926040498535315e+02 1.315204301500824045e+02 1.310410983041736586e+02 1.305617664582649127e+02 1.300824463567088287e+02 1.296032906760899266e+02 1.291241349954710245e+02 1.286449793148521508e+02 1.287658574464502976e+02 1.290367440311027849e+02 1.293076306157552153e+02 1.295890450853788991e+02 1.298796714543524615e+02 1.301702978233259955e+02 1.301670273301729424e+02 1.293555404661717603e+02 1.285440536021705498e+02 1.277325667381693393e+02 1.085584785236812024e+02 1.131943793884973957e+02 1.178302802533135889e+02 1.224661811181298106e+02 1.255491926794241522e+02 1.280675172212559687e+02 1.305858417630878421e+02 1.326622374406662175e+02 1.342335715590978111e+02 1.358049056775293764e+02 1.370716082864439329e+02 1.371197848572905400e+02 1.371679614281371187e+02 1.372161379989837258e+02 1.361597087525350958e+02 1.350243790905653327e+02 1.338890494285956265e+02 1.326139434262930763e+02 1.312689492538240756e+02 1.299239550813551318e+02 1.292213615461275538e+02 1.294823689667620954e+02 1.297433763873966086e+02 1.299384139247854080e+02 1.297046472210768115e+02 1.294708805173682435e+02 1.292371138136596755e+02 1.292604022468546532e+02 1.293232376241886357e+02 1.293860730015226181e+02 1.294880393256620437e+02 1.296160929476717172e+02 1.297441465696813907e+02 1.298869192652513220e+02 1.300591301079417121e+02 1.302313409506321022e+02 1.304208944934538863e+02 1.308532458381155834e+02 1.312855971827772805e+02 1.317179485274389776e+02 1.320507980076477565e+02 1.323587720217433059e+02 1.326667460358388553e+02 1.323842659207425072e+02 1.315851384426032098e+02 1.307860109644639124e+02 1.302223194334200400e+02 1.303060767568886149e+02 1.303898340803571898e+02 1.304735914038257647e+02
5.000000000000000000e+00 9.818093857390792323e+01 1.043643402478098210e+02 1.105477419217117188e+02 1.167311435956136165e+02 1.212344433014465892e+02 1.251267968370726749e+02 1.290191503726987321e+02 1.319732012152716152e+02 1.338549061229265078e+02 1.357366110305813720e+02 1.374416425505981465e+02 1.384399805200623916e+02 1.394383184895266368e+02 1.404366564589909103e+02 1.408198264725299964e+02 1.411590559177887485e+02 1.414982853630475006e+02 1.412436276193955109e+02 1.406920262812882072e+02 1.401404249431808751e+02 1.397250976558192974e+02 1.395141814445763657e+02 1.393032652333334340e+02 1.391701986271106648e+02 1.395431544535192359e+02 1.399161102799277785e+02 1.402890661063363495e+02 1.410093129489169144e+02 1.417829891786008716e+02 1.425566654082848288e+02 1.434548552648381303e+02 1.444360542059710042e+02 1.454172531471038496e+02 1.464763171463525282e+02 1.476911112618327877e+02 1.489059053773130472e+02 1.500925649688177828e+02 1.508853412246649555e+02 1.516781174805120997e+02 1.524708937363592440e+02 1.527201277525171008e+02 1.528334762087525860e+02 1.529468246649880712e+02 1.526672862011703842e+02 1.520439716823061076e+02 1.514206571634418879e+02 1.507571979747007731e+02 1.499833409437982823e+02 1.492094839128957631e+02 1.484356268819932723e+02 1.209877927338113750e+02 1.268890796037969295e+02 1.327903664737824840e+02 1.386916533437680243e+02 1.430852734673231623e+02 1.469306511376308606e+02 1.507760288079385873e+02 1.537058695946947751e+02 1.555893825145350320e+02 1.574728954343752605e+02 1.591387876629149787e+02 1.599341971262525703e+02 1.607296065895902188e+02 1.615250160529278673e+02 1.600601957956092178e+02 1.584339305582437305e+02 1.568076653208782432e+02 1.552711949314327740e+02 1.537796219659472854e+02 1.522880490004617968e+02 1.509783787501658878e+02 1.499415625726544192e+02 1.489047463951429222e+02 1.479023529152690912e+02 1.471237069700397342e+02 1.463450610248104340e+02 1.455664150795810770e+02 1.452595357627779435e+02 1.450252359272710976e+02 1.447909360917642800e+02 1.448020558302970358e+02 1.449767886181895733e+02 1.451515214060820824e+02 1.452974094457252079e+02 1.453856079888695945e+02 1.454738065320140095e+02 1.456011863990554787e+02 1.462771048006560761e+02 1.469530232022567020e+02 1.476289416038572995e+02 1.477395214834848503e+02 1.477087667326191536e+02 1.476780119817534853e+02 1.475442481318571879e+02 1.473203513203091575e+02 1.470964545087611555e+02 1.468822090826018325e+02 1.466945049662616043e+02 1.465068008499213761e+02 1.463190967335811195e+02
6.000000000000000000e+00 3.567016865706395379e+01 3.829043727057754154e+01 4.091070588409112929e+01 4.353097449760469573e+01 4.604374179719640381e+01 4.851741770990744129e+01 5.099109362261845035e+01 5.333048089830661098e+01 5.551639544596855558e+01 5.770230999363052149e+01 5.982137166816407614e+01 6.167302185018399996e+01 6.352467203220391667e+01 6.537632221422384760e+01 6.706105918378742103e+01 6.873387378103268475e+01 7.040668837827796267e+01 7.229909146401762143e+01 7.430128879400447772e+01 7.630348612399134822e+01 7.824638807178455124e+01 8.010034694628731700e+01 8.195430582079006854e+01 8.389238022151744190e+01 8.637720554270481443e+01 8.886203086389217276e+01 9.134685618507953109e+01 9.394749473125077088e+01 9.656595069665031872e+01 9.918440666204988077e+01 1.019915551237843374e+02 1.049244985830753762e+02 1.078574420423664293e+02 1.106669168131126924e+02 1.132294542067693897e+02 1.157919916004261154e+02 1.182883940717760396e+02 1.198589076308311974e+02 1.214294211898863267e+02 1.229999347489414561e+02 1.242846896641374883e+02 1.254980049183687214e+02 1.267113201725999261e+02 1.277601848196898402e+02 1.286651551855310913e+02 1.295701255513723140e+02 1.304217122712731509e+02 1.311264939648378629e+02 1.318312756584025465e+02 1.325360573519672585e+02 2.344641956023187390e+01 2.692143288826336800e+01 3.039644621629485499e+01 3.387145954432635619e+01 3.785843083900959982e+01 4.203156866702077110e+01 4.620470649503192107e+01 4.946280502916997079e+01 5.167514437031015007e+01 5.388748371145032934e+01 5.616537601131693691e+01 5.870548014608924348e+01 6.124558428086155004e+01 6.378568841563385661e+01 6.589228809575070045e+01 6.796792317196360500e+01 7.004355824817648113e+01 7.166956078291673293e+01 7.307074704692070100e+01 7.447193331092465485e+01 7.586042269345875866e+01 7.722986675378811583e+01 7.859931081411744458e+01 8.008131089593985052e+01 8.229492511746713035e+01 8.450853933899441017e+01 8.672215356052169000e+01 8.860288863189663289e+01 9.043241152632506896e+01 9.226193442075350504e+01 9.419590478835110048e+01 9.619950680472811655e+01 9.820310882110511841e+01 1.002863344578773592e+02 1.025288073354400638e+02 1.047712802130027683e+02 1.069631454387188683e+02 1.084465035385827036e+02 1.099298616384465532e+02 1.114132197383103744e+02 1.130228011955408931e+02 1.146639384921130613e+02 1.163050757886852296e+02 1.172266724491458234e+02 1.175186710530087737e+02 1.178106696568717098e+02 1.182049949510634832e+02 1.188807186436595345e+02 1.195564423362555573e+02 1.202321660288515943e+02
7.000000000000000000e+00 8.985488514785131997e+01 9.633314115768328634e+01 1.028113971675152385e+02 1.092896531773471764e+02 1.150414449461143533e+02 1.205290678999488421e+02 1.260166908537833308e+02 1.320292752451561853e+02 1.386418155651442703e+02 1.452543558851323269e+02 1.519955886581022355e+02 1.592515912429995524e+02 1.665075938278968408e+02 1.737635964127941577e+02 1.781883483427476449e+02 1.824108680830622973e+02 1.866333878233769497e+02 1.893170234007131967e+02 1.912312168965602552e+02 1.931454103924073138e+02 1.951608674056057851e+02 1.973282196948314891e+02 1.994955719840571646e+02 2.016030330197228295e+02 2.033212009072483681e+02 2.050393687947738783e+02 2.067575366822993885e+02 2.079579782716470788e+02 2.090787696612750892e+02 2.101995610509031280e+02 2.114997767882482549e+02 2.129196087574047169e+02 2.143394407265611790e+02 2.157793045435456065e+02 2.172592320561859651e+02 2.187391595688263237e+02 2.202145587063316725e+02 2.216265605919469692e+02 2.230385624775622659e+02 2.244505643631775627e+02 2.257877015637190539e+02 2.271061225929920226e+02 2.284245436222649914e+02 2.299244161363360490e+02 2.315830586996053739e+02 2.332417012628746988e+02 2.346487674297549404e+02 2.353639985065652525e+02 2.360792295833755077e+02 2.367944606601858482e+02 1.799170138271770440e+02 1.870991197089089439e+02 1.942812255906408438e+02 2.014633314723727722e+02 2.076376155108079899e+02 2.134454188789534896e+02 2.192532222470990177e+02 2.244393565419998993e+02 2.289150118960498048e+02 2.333906672500997388e+02 2.374616959673681151e+02 2.399142181375105451e+02 2.423667403076529467e+02 2.448192624777953483e+02 2.450247605246586033e+02 2.450697568484304156e+02 2.451147531722022848e+02 2.454060409336675548e+02 2.458204744139795821e+02 2.462349078942915526e+02 2.464589215312423391e+02 2.463973054031512788e+02 2.463356892750602469e+02 2.462778962428209582e+02 2.462449533336181275e+02 2.462120104244152685e+02 2.461790675152124095e+02 2.461689417197887337e+02 2.461623262495618008e+02 2.461557107793349246e+02 2.466298624385361791e+02 2.474245255173562725e+02 2.482191885961763660e+02 2.484924070529550590e+02 2.477227362656509229e+02 2.469530654783468435e+02 2.462802899273295907e+02 2.469640476843287047e+02 2.476478054413279040e+02 2.483315631983270464e+02 2.476663139229914918e+02 2.466638128895722275e+02 2.456613118561529916e+02 2.447138164255884760e+02 2.438144508975218230e+02 2.429150853694551699e+02 2.419763787324829138e+02 2.409294840460202636e+02 2.398825893595576417e+02 2.388356946730949915e+02
8.000000000000000000e+00 5.194883878243345521e+01 5.661802561517485088e+01 6.128721244791624656e+01 6.595639928065764934e+01 7.024195930635396223e+01 7.438801867494296971e+01 7.853407804353197719e+01 8.189782259293401978e+01 8.436749306326518649e+01 8.683716353359636742e+01 8.924903046358323877e+01 9.142968323219295712e+01 9.361033600080267547e+01 9.579098876941239382e+01 9.786697030402865494e+01 9.993547532193112204e+01 1.020039803398335607e+02 1.039065623796458055e+02 1.057261829304129321e+02 1.075458034811800303e+02 1.091672658964326388e+02 1.104914911084134843e+02 1.118157163203943156e+02 1.131808341320791271e+02 1.148117538418397316e+02 1.164426735516003220e+02 1.180735932613609123e+02 1.201722818837156268e+02 1.223429349541617626e+02 1.245135880246078983e+02 1.269708416235615118e+02 1.296191622415201437e+02 1.322674828594787186e+02 1.351573786303532643e+02 1.385304247070596091e+02 1.419034707837659823e+02 1.451813808045886844e+02 1.471273860430405307e+02 1.490733912814924054e+02 1.510193965199442800e+02 1.521489665041215176e+02 1.530744276747300603e+02 1.539998888453386030e+02 1.545869741996894504e+02 1.548779807148147825e+02 1.551689872299401145e+02 1.554154245448560516e+02 1.555392965591960035e+02 1.556631685735359838e+02 1.557870405878759641e+02 4.074617615710030805e+01 4.503145246396138646e+01 4.931672877082246487e+01 5.360200507768354328e+01 5.825419875931602576e+01 6.303981694086536436e+01 6.782543512241470296e+01 7.198193985644446968e+01 7.541945779330897892e+01 7.885697573017350237e+01 8.232248076848152607e+01 8.589993421256355077e+01 8.947738765664557548e+01 9.305484110072761439e+01 9.614618837085120617e+01 9.920281377140632628e+01 1.022594391719614464e+02 1.045221246985706358e+02 1.063878402882068599e+02 1.082535558778430982e+02 1.100900373012207751e+02 1.118826674752106811e+02 1.136752976492005729e+02 1.154784142938655265e+02 1.173496929979182113e+02 1.192209717019709103e+02 1.210922504060236093e+02 1.233894927631402254e+02 1.257522679899590230e+02 1.281150432167777922e+02 1.300094709671031410e+02 1.315916670664328763e+02 1.331738631657625831e+02 1.349821442349774543e+02 1.372425952439627110e+02 1.395030462529479678e+02 1.417147959039599812e+02 1.432447265433470136e+02 1.447746571827340460e+02 1.463045878221210501e+02 1.474893383381952106e+02 1.485877938234411317e+02 1.496862493086870529e+02 1.502401080349998210e+02 1.503174445972460376e+02 1.503947811594922825e+02 1.504245048798194659e+02 1.503232932848692087e+02 1.502220816899189515e+02 1.501208700949687227e+02
9.000000000000000000e+00 1.911028059989802443e+02 1.992388422893469624e+02 2.073748785797136804e+02 2.155109148700803985e+02 2.198562626135962148e+02 2.228231781582571500e+02 2.257900937029180568e+02 2.280046298561289291e+02 2.293593038476825541e+02 2.307139778392362075e+02 2.318381404762006071e+02 2.320402576948081901e+02 2.322423749134157447e+02 2.324444921320232993e+02 2.302877660094569023e+02 2.279625510768066192e+02 2.256373361441563929e+02 2.227852695513138030e+02 2.196697771283751308e+02 2.165542847054364302e+02 2.135622340826561469e+02 2.107553461601135325e+02 2.079484582375708897e+02 2.051973720613684122e+02 2.028089972363765128e+02 2.004206224113846417e+02 1.980322475863927707e+02 1.960985074699196389e+02 1.942347111547570933e+02 1.923709148395945476e+02 1.900913758578606689e+02 1.875346750984125492e+02 1.849779743389644580e+02 1.823882688579311093e+02 1.797325539337273028e+02 1.770768390095234395e+02 1.744345722962976311e+02 1.719805805367635401e+02 1.695265887772294491e+02 1.670725970176953297e+02 1.647813931122158522e+02 1.625308861702500280e+02 1.602803792282842323e+02 1.583028308220290796e+02 1.565641211345207751e+02 1.548254114470124705e+02 1.531927705714637966e+02 1.518518189288041356e+02 1.505108672861444745e+02 1.491699156434847851e+02 2.273931051220227175e+02 2.373481778361428098e+02 2.473032505502629590e+02 2.572583232643830229e+02 2.635997254233222975e+02 2.686270655621957530e+02 2.736544057010692654e+02 2.763407594779217789e+02 2.763517002696074769e+02 2.763626410612931750e+02 2.757701990458831460e+02 2.727642258020899249e+02 2.697582525582967037e+02 2.667522793145035394e+02 2.619868289680234170e+02 2.570957016856370956e+02 2.522045744032507741e+02 2.466285597425768970e+02 2.407101013927592135e+02 2.347916430429415300e+02 2.290885309978137627e+02 2.237084384097208556e+02 2.183283458216279485e+02 2.130796861384908425e+02 2.086853403375662594e+02 2.042909945366416764e+02 1.998966487357170649e+02 1.966082800597914115e+02 1.934900617107886660e+02 1.903718433617858636e+02 1.876504809059105412e+02 1.851936890454534819e+02 1.827368971849964510e+02 1.804304206760722877e+02 1.784245748702139736e+02 1.764187290643556594e+02 1.744601227536266776e+02 1.731628693747083503e+02 1.718656159957900229e+02 1.705683626168716955e+02 1.693956080298509050e+02 1.682539781408045201e+02 1.671123482517581351e+02 1.654843859554337087e+02 1.634308828027410243e+02 1.613773796500482831e+02 1.594795485099477332e+02 1.580098154044755461e+02 1.565400822990033873e+02 1.550703491935312002e+02
