# sample_index  true_r0  true_r1  true_r2  true_r3  true_r4  true_r5  true_r6  true_r7  true_r8  true_r9  true_r10  true_r11  true_r12  true_r13  true_r14  true_r15  true_r16  true_r17  true_r18  true_r19  true_r20  true_r21  true_r22  true_r23  true_r24  true_r25  true_r26  true_r27  true_r28  true_r29  true_r30  true_r31  true_r32  true_r33  true_r34  true_r35  true_r36  true_r37  true_r38  true_r39  true_r40  true_r41  true_r42  true_r43  true_r44  true_r45  true_r46  true_r47  true_r48  true_r49  pred_r0  pred_r1  pred_r2  pred_r3  pred_r4  pred_r5  pred_r6  pred_r7  pred_r8  pred_r9  pred_r10  pred_r11  pred_r12  pred_r13  pred_r14  pred_r15  pred_r16  pred_r17  pred_r18  pred_r19  pred_r20  pred_r21  pred_r22  pred_r23  pred_r24  pred_r25  pred_r26  pred_r27  pred_r28  pred_r29  pred_r30  pred_r31  pred_r32  pred_r33  pred_r34  pred_r35  pred_r36  pred_r37  pred_r38  pred_r39  pred_r40  pred_r41  pred_r42  pred_r43  pred_r44  pred_r45  pred_r46  pred_r47  pred_r48  pred_r49
0.000000000000000000e+00 1.692854781443673176e+02 1.788119268004847697e+02 1.883383754566022219e+02 1.978648241127196741e+02 2.057210604728911107e+02 2.129699469072640170e+02 2.202188333416369233e+02 2.263254831984301347e+02 2.311267198237036951e+02 2.359279564489772838e+02 2.398025682855434866e+02 2.399706809672804297e+02 2.401387936490173445e+02 2.403069063307542876e+02 2.383974306649943173e+02 2.363395558315559697e+02 2.342816809981176505e+02 2.323084736754788082e+02 2.303776001082397329e+02 2.284467265410006576e+02 2.270960227587689246e+02 2.266155736540482053e+02 2.261351245493274860e+02 2.258041804358063587e+02 2.264450187650824660e+02 2.270858570943585732e+02 2.277266954236347090e+02 2.292830106784513760e+02 2.309801685371973576e+02 2.326773263959433393e+02 2.334971254800684903e+02 2.337320187144463830e+02 2.339669119488243041e+02 2.336376822017291488e+02 2.321802064916879544e+02 2.307227307816467032e+02 2.292111336948810845e+02 2.269418373339736377e+02 2.246725409730662477e+02 2.224032446121588009e+02 2.203108256197514265e+02 2.182626259694690702e+02 2.162144263191867140e+02 2.144297798325082738e+02 2.128757423639832211e+02 2.113217048954581969e+02 2.098421352765119536e+02 2.085673522439074645e+02 2.072925692113029754e+02 2.060177861786984863e+02 1.111638277915156436e+02 1.186560773019655244e+02 1.261483268124154051e+02 1.336405763228652859e+02 1.401034636109979488e+02 1.461920373637424859e+02 1.522806111164870231e+02 1.579873561843907055e+02 1.632577256124761504e+02 1.685280950405615954e+02 1.735868055816295055e+02 1.777988805746272760e+02 1.820109555676249897e+02 1.862230305606227603e+02 1.887346425867873165e+02 1.911247929724637800e+02 1.935149433581402718e+02 1.950436825638564073e+02 1.961417161795924358e+02 1.972397497953284358e+02 1.982665866727625144e+02 1.991866284427437108e+02 2.001066702127248504e+02 2.010469178323904771e+02 2.021185034750048430e+02 2.031900891176192374e+02 2.042616747602336318e+02 2.055163075742978833e+02 2.067991014916620998e+02 2.080818954090262878e+02 2.093654792886376299e+02 2.106495898097470558e+02 2.119337003308564817e+02 2.130659316471581519e+02 2.138944045538443106e+02 2.147228774605304693e+02 2.155222113920269749e+02 2.159135996708687628e+02 2.163049879497105508e+02 2.166963762285523387e+02 2.165495925274881301e+02 2.162682658314474793e+02 2.159869391354067716e+02 2.152748592538515027e+02 2.141858703349709003e+02 2.130968814160903264e+02 2.118155162919454426e+02 2.100051166033236143e+02 2.081947169147017576e+02 2.063843172260799292e+02
1.000000000000000000e+00 2.213010086816049977e+02 2.281186563941994621e+02 2.349363041067939832e+02 2.417539518193884760e+02 2.456332858129085821e+02 2.484441420904016127e+02 2.512549983678946433e+02 2.529402894854664510e+02 2.533392204202712321e+02 2.537381513550760133e+02 2.537406899896214156e+02 2.521576594231292177e+02 2.505746288566370197e+02 2.489915982901448217e+02 2.456636288933074752e+02 2.422110210085883182e+02 2.387584131238691043e+02 2.347318309092310642e+02 2.304182615296335825e+02 2.261046921500361009e+02 2.218814325155040308e+02 2.177936374985701491e+02 2.137058424816362106e+02 2.096226833933827152e+02 2.055696578415517308e+02 2.015166322897207465e+02 1.974636067378897621e+02 1.937578360419871046e+02 1.901054891700733833e+02 1.864531422981596620e+02 1.836602715695750589e+02 1.814403849365432393e+02 1.792204983035113628e+02 1.772114861583643517e+02 1.756242229889869861e+02 1.740369598196095922e+02 1.724619568272203765e+02 1.710585963126653155e+02 1.696552357981102546e+02 1.682518752835551936e+02 1.670158940468198239e+02 1.658217576295393769e+02 1.646276212122589300e+02 1.634093532408874694e+02 1.621699701596864145e+02 1.609305870784853596e+02 1.598425318356410116e+02 1.591706281482776149e+02 1.584987244609142465e+02 1.578268207735508497e+02 2.398932782657849714e+02 2.508604483856927345e+02 2.618276185056004692e+02 2.727947886255082039e+02 2.796373637266171954e+02 2.849800860936175013e+02 2.903228084606178072e+02 2.933675275600739951e+02 2.937859572109085207e+02 2.942043868617429894e+02 2.939703262401560551e+02 2.911263045288835656e+02 2.882822828176110193e+02 2.854382611063385866e+02 2.806783633661698900e+02 2.757816173382229294e+02 2.708848713102760257e+02 2.653468836272577391e+02 2.594882751167038464e+02 2.536296666061499820e+02 2.479193484734813921e+02 2.424314659076407850e+02 2.369435833418002062e+02 2.315901600151579487e+02 2.271107217433048504e+02 2.226312834714517521e+02 2.181518451995986538e+02 2.145021680044810068e+02 2.109801463596303961e+02 2.074581247147797285e+02 2.043064562859765090e+02 2.014016900012048552e+02 1.984969237164332299e+02 1.957656447000486253e+02 1.933813402204381191e+02 1.909970357408276129e+02 1.886318930997627490e+02 1.865350161983362796e+02 1.844381392969098670e+02 1.823412623954834260e+02 1.803918006086074399e+02 1.784791926003690890e+02 1.765665845921307664e+02 1.746353586943119467e+02 1.726878421431102879e+02 1.707403255919085723e+02 1.687650626984928977e+02 1.667134973639885800e+02 1.646619320294842908e+02 1.626103666949799731e+02
2.000000000000000000e+00 3.794330325785674063e+01 4.145682724543623010e+01 4.497035123301567694e+01 4.848387522059516641e+01 5.199017828566205424e+01 5.549385556072439840e+01 5.899753283578671414e+01 6.196617572747398839e+01 6.432335075244685640e+01 6.668052577741971731e+01 6.922473178188843690e+01 7.251706170434054854e+01 7.580939162679266019e+01 7.910172154924477184e+01 8.198256211515885639e+01 8.483401058417734930e+01 8.768545905319585643e+01 9.030518835367296049e+01 9.280905806987935591e+01 9.531292778608575134e+01 9.796987957606150133e+01 1.008564544766913116e+02 1.037430293773211218e+02 1.066473048717764840e+02 1.096666342260978837e+02 1.126859635804192692e+02 1.157052929347406973e+02 1.186594454586825975e+02 1.216035707779507504e+02 1.245476960972189033e+02 1.274825477047548219e+02 1.304112168378025558e+02 1.333398859708502755e+02 1.362563873364215397e+02 1.391485531670398927e+02 1.420407189976582458e+02 1.449002315100853195e+02 1.473025975678346242e+02 1.497049636255839289e+02 1.521073296833332051e+02 1.542051486054675138e+02 1.562268307436980308e+02 1.582485128819285478e+02 1.598753968612419385e+02 1.611568324515027655e+02 1.624382680417636209e+02 1.636100534106282964e+02 1.644803006706534063e+02 1.653505479306785446e+02 1.662207951907036829e+02 2.727955621538995956e+01 3.084830338541023309e+01 3.441705055543049951e+01 3.798579772545076594e+01 4.167377170927325380e+01 4.540510089811472483e+01 4.913643008695619585e+01 5.260746795161332301e+01 5.578103001720254639e+01 5.895459208279180530e+01 6.216518501949424547e+01 6.552390144064951016e+01 6.888261786180478907e+01 7.224133428296005377e+01 7.538964382690340926e+01 7.852292430818876312e+01 8.165620478947411698e+01 8.453747618769355654e+01 8.729274304438007448e+01 9.004800990106654979e+01 9.291429612341948996e+01 9.594711139427215585e+01 9.897992666512480753e+01 1.020475985565395689e+02 1.053418384816080078e+02 1.086360784066764325e+02 1.119303183317448713e+02 1.152462302962083669e+02 1.185654764205788325e+02 1.218847225449492839e+02 1.250581789113646067e+02 1.281344421058098533e+02 1.312107053002551140e+02 1.341903201988811816e+02 1.369766385058688911e+02 1.397629568128566575e+02 1.425203540333027377e+02 1.448728560421657505e+02 1.472253580510287918e+02 1.495778600598918047e+02 1.514056713694514542e+02 1.531023100041852558e+02 1.547989486389190290e+02 1.561575576067365603e+02 1.572203906160023905e+02 1.582832236252682208e+02 1.592081927693128307e+02 1.597540362839991133e+02 1.602998797986853674e+02 1.608457233133716784e+02
3.000000000000000000e+00 5.701494208443699563e+01 6.110652001917409137e+01 6.519809795391118712e+01 6.928967588864827576e+01 7.242748690850203275e+01 7.521847359567090052e+01 7.800946028283976830e+01 8.078587624616622520e+01 8.354563995367267637e+01 8.630540366117915596e+01 8.905560530218943427e+01 9.176755867721504956e+01 9.447951205224066484e+01 9.719146542726629434e+01 9.971816400160447813e+01 1.022316300901792943e+02 1.047450961787540962e+02 1.069544484365145252e+02 1.090117437788677961e+02 1.110690391212210670e+02 1.131818988503659824e+02 1.153781051596984213e+02 1.175743114690308460e+02 1.197558985318006251e+02 1.218424604919131866e+02 1.239290224520257482e+02 1.260155844121383097e+02 1.283677875581324201e+02 1.307608585788775315e+02 1.331539295996226429e+02 1.354986349036310003e+02 1.378110963964815596e+02 1.401235578893320621e+02 1.423827417444779826e+02 1.445353703242147674e+02 1.466879989039515522e+02 1.487777710901443129e+02 1.499875537667210779e+02 1.511973364432978428e+02 1.524071191198746078e+02 1.528442742138349217e+02 1.530882724121411229e+02 1.533322706104473241e+02 1.533908959464156965e+02 1.532873200278384616e+02 1.531837441092612266e+02 1.528188575803137326e+02 1.517353668728481182e+02 1.506518761653824754e+02 1.495683854579168610e+02 5.752090424999539664e+01 6.148285698290015233e+01 6.544480971580489381e+01 6.940676244870964240e+01 7.319260490477999781e+01 7.691440726018326757e+01 8.063620961558653732e+01 8.432728256320093863e+01 8.798323618762798048e+01 9.163918981205502234e+01 9.523961799149132901e+01 9.861794439096465226e+01 1.019962707904379471e+02 1.053745971899112703e+02 1.081211188307350710e+02 1.108225115602267579e+02 1.135239042897184589e+02 1.159429195126685954e+02 1.182207459823479354e+02 1.204985724520272754e+02 1.227079429444405179e+02 1.248146294709546567e+02 1.269213159974688097e+02 1.290084920636005563e+02 1.309688501372469318e+02 1.329292082108932505e+02 1.348895662845396259e+02 1.365932870729874651e+02 1.382575252021740368e+02 1.399217633313605518e+02 1.412918601304481001e+02 1.424658627094696328e+02 1.436398652884911371e+02 1.447139172451635147e+02 1.455880679571375254e+02 1.464622186691115644e+02 1.473191469060379291e+02 1.479349604922973072e+02 1.485507740785566853e+02 1.491665876648160349e+02 1.494024998763179042e+02 1.495434367441304175e+02 1.496843736119428740e+02 1.495515953604840718e+02 1.491793163796628505e+02 1.488070373988416009e+02 1.483336889915496783e+02 1.475823996614633131e+02 1.468311103313769763e+02 1.460798210012906111e+02
4.000000000000000000e+00 1.190138133745163316e+02 1.244360836417434086e+02 1.298583539089704573e+02 1.352806241761975343e+02 1.390835209776354020e+02 1.422975547006044224e+02 1.455115884235734427e+02 1.476009180331082007e+02 1.484048715130037976e+02 1.492088249928993662e+02 1.498064601756172181e+02 1.495788221696241180e+02 1.493511841636309896e+02 1.491235461576378896e+02 1.481209966014984616e+02 1.470630962203485694e+02 1.460051958391986773e+02 1.449792184629419580e+02 1.439692025891317826e+02 1.429591867153216356e+02 1.418681700412362829e+02 1.406556521667380935e+02 1.394431342922398755e+02 1.382437379502786712e+02 1.371296315698077422e+02 1.360155251893368415e+02 1.349014188088659125e+02 1.342137903604805729e+02 1.335917739016468317e+02 1.329697574428130906e+02 1.325297939032581951e+02 1.322111989765558633e+02 1.318926040498535315e+02 1.315204301500824045e+02 1.310410983041736586e+02 1.305617664582649127e+02 1.300824463567088287e+02 1.296032906760899266e+02 1.291241349954710245e+02 1.286449793148521508e+02 1.287658574464502976e+02 1.290367440311027849e+02 1.293076306157552153e+02 1.295890450853788991e+02 1.298796714543524615e+02 1.301702978233259955e+02 1.301670273301729424e+02 1.293555404661717603e+02 1.285440536021705498e+02 1.277325667381693393e+02 7.674307477144694190e+01 8.167153982342509266e+01 8.660000487540321501e+01 9.152846992738136578e+01 9.548965433237282241e+01 9.909910032027821103e+01 1.027085463081836139e+02 1.059533910312863441e+02 1.087815485946145770e+02 1.116097061579428100e+02 1.143241165751690289e+02 1.165835384079872341e+02 1.188429602408054393e+02 1.211023820736236445e+02 1.222731728812554053e+02 1.233662043299452762e+02 1.244592357786351329e+02 1.251291491072850874e+02 1.255875033759150767e+02 1.260458576445450660e+02 1.265130813719263614e+02 1.269936092874346514e+02 1.274741372029429414e+02 1.279776716871824362e+02 1.286307488681747486e+02 1.292838260491670894e+02 1.299369032301594302e+02 1.306514729144780063e+02 1.313755029839236954e+02 1.320995330533693846e+02 1.327327981295532027e+02 1.333055532102291352e+02 1.338783082909050677e+02 1.344292358740441671e+02 1.349365084621096287e+02 1.354437810501750619e+02 1.359432334446805157e+02 1.363332031293460886e+02 1.367231728140116900e+02 1.371131424986772629e+02 1.372907940672669724e+02 1.374153661068376664e+02 1.375399381464083888e+02 1.374333961606614594e+02 1.371246294027615420e+02 1.368158626448616531e+02 1.364176867483079434e+02 1.357736357204563262e+02 1.351295846926047091e+02 1.344855336647530919e+02
5.000000000000000000e+00 9.818093857390792323e+01 1.043643402478098210e+02 1.105477419217117188e+02 1.167311435956136165e+02 1.212344433014465892e+02 1.251267968370726749e+02 1.290191503726987321e+02 1.319732012152716152e+02 1.338549061229265078e+02 1.357366110305813720e+02 1.374416425505981465e+02 1.384399805200623916e+02 1.394383184895266368e+02 1.404366564589909103e+02 1.408198264725299964e+02 1.411590559177887485e+02 1.414982853630475006e+02 1.412436276193955109e+02 1.406920262812882072e+02 1.401404249431808751e+02 1.397250976558192974e+02 1.395141814445763657e+02 1.393032652333334340e+02 1.391701986271106648e+02 1.395431544535192359e+02 1.399161102799277785e+02 1.402890661063363495e+02 1.410093129489169144e+02 1.417829891786008716e+02 1.425566654082848288e+02 1.434548552648381303e+02 1.444360542059710042e+02 1.454172531471038496e+02 1.464763171463525282e+02 1.476911112618327877e+02 1.489059053773130472e+02 1.500925649688177828e+02 1.508853412246649555e+02 1.516781174805120997e+02 1.524708937363592440e+02 1.527201277525171008e+02 1.528334762087525860e+02 1.529468246649880712e+02 1.526672862011703842e+02 1.520439716823061076e+02 1.514206571634418879e+02 1.507571979747007731e+02 1.499833409437982823e+02 1.492094839128957631e+02 1.484356268819932723e+02 1.448076161631562400e+02 1.518524243810897474e+02 1.588972325990233116e+02 1.659420408169568191e+02 1.703814082847300426e+02 1.738733427524449269e+02 1.773652772201598395e+02 1.797467840713426881e+02 1.808592307893460429e+02 1.819716775073493409e+02 1.828262052604050041e+02 1.826490571536700145e+02 1.824719090469350249e+02 1.822947609402000353e+02 1.805587898502942039e+02 1.787114742615904106e+02 1.768641586728866741e+02 1.746207956970173427e+02 1.721794090275652138e+02 1.697380223581130849e+02 1.675311543400015353e+02 1.656760642989007408e+02 1.638209742577999464e+02 1.620681596027505975e+02 1.609801349570355740e+02 1.598921103113204936e+02 1.588040856656054416e+02 1.582251168951882505e+02 1.577244644132784117e+02 1.572238119313685445e+02 1.568989455203473824e+02 1.566912698232520427e+02 1.564835941261566745e+02 1.563247517564709881e+02 1.562635760416045798e+02 1.562024003267381715e+02 1.561430082081660657e+02 1.561085864377141945e+02 1.560741646672623233e+02 1.560397428968104236e+02 1.559294699156615138e+02 1.558002341318382946e+02 1.556709983480151323e+02 1.553429887773486939e+02 1.548410521431943607e+02 1.543391155090400275e+02 1.537433761120905729e+02 1.528896791174543921e+02 1.520359821228182682e+02 1.511822851281821443e+02
6.000000000000000000e+00 3.567016865706395379e+01 3.829043727057754154e+01 4.091070588409112929e+01 4.353097449760469573e+01 4.604374179719640381e+01 4.851741770990744129e+01 5.099109362261845035e+01 5.333048089830661098e+01 5.551639544596855558e+01 5.770230999363052149e+01 5.982137166816407614e+01 6.167302185018399996e+01 6.352467203220391667e+01 6.537632221422384760e+01 6.706105918378742103e+01 6.873387378103268475e+01 7.040668837827796267e+01 7.229909146401762143e+01 7.430128879400447772e+01 7.630348612399134822e+01 7.824638807178455124e+01 8.010034694628731700e+01 8.195430582079006854e+01 8.389238022151744190e+01 8.637720554270481443e+01 8.886203086389217276e+01 9.134685618507953109e+01 9.394749473125077088e+01 9.656595069665031872e+01 9.918440666204988077e+01 1.019915551237843374e+02 1.049244985830753762e+02 1.078574420423664293e+02 1.106669168131126924e+02 1.132294542067693897e+02 1.157919916004261154e+02 1.182883940717760396e+02 1.198589076308311974e+02 1.214294211898863267e+02 1.229999347489414561e+02 1.242846896641374883e+02 1.254980049183687214e+02 1.267113201725999261e+02 1.277601848196898402e+02 1.286651551855310913e+02 1.295701255513723140e+02 1.304217122712731509e+02 1.311264939648378629e+02 1.318312756584025465e+02 1.325360573519672585e+02 3.404904528272885500e+01 3.752899587480496280e+01 4.100894646688107059e+01 4.448889705895716418e+01 4.769391204627137171e+01 5.079895045003578957e+01 5.390398885380022875e+01 5.666366107898075200e+01 5.902862910006534491e+01 6.139359712114994494e+01 6.373716291388866040e+01 6.599511979324384470e+01 6.825307667259905031e+01 7.051103355195425593e+01 7.248508306830333936e+01 7.443885348729486395e+01 7.639262390628638855e+01 7.818307055786783621e+01 7.989185532574423121e+01 8.160064009362062620e+01 8.340834630767915314e+01 8.536443469101087089e+01 8.732052307434258864e+01 8.930797506050669199e+01 9.149929046508131592e+01 9.369060586965592563e+01 9.588192127423053535e+01 9.806885727151173171e+01 1.002551195138247522e+02 1.024413817561377300e+02 1.044619994851432523e+02 1.063721875386104330e+02 1.082823755920775994e+02 1.101564188549333636e+02 1.119581725365662805e+02 1.137599262181991975e+02 1.155454575491317684e+02 1.171038759702597929e+02 1.186622943913877748e+02 1.202207128125157993e+02 1.214350081020700429e+02 1.225632726087308555e+02 1.236915371153916681e+02 1.245779767471116628e+02 1.252528196132584242e+02 1.259276624794051855e+02 1.265113790589149261e+02 1.268444983501729126e+02 1.271776176414308850e+02 1.275107369326888715e+02
7.000000000000000000e+00 8.985488514785131997e+01 9.633314115768328634e+01 1.028113971675152385e+02 1.092896531773471764e+02 1.150414449461143533e+02 1.205290678999488421e+02 1.260166908537833308e+02 1.320292752451561853e+02 1.386418155651442703e+02 1.452543558851323269e+02 1.519955886581022355e+02 1.592515912429995524e+02 1.665075938278968408e+02 1.737635964127941577e+02 1.781883483427476449e+02 1.824108680830622973e+02 1.866333878233769497e+02 1.893170234007131967e+02 1.912312168965602552e+02 1.931454103924073138e+02 1.951608674056057851e+02 1.973282196948314891e+02 1.994955719840571646e+02 2.016030330197228295e+02 2.033212009072483681e+02 2.050393687947738783e+02 2.067575366822993885e+02 2.079579782716470788e+02 2.090787696612750892e+02 2.101995610509031280e+02 2.114997767882482549e+02 2.129196087574047169e+02 2.143394407265611790e+02 2.157793045435456065e+02 2.172592320561859651e+02 2.187391595688263237e+02 2.202145587063316725e+02 2.216265605919469692e+02 2.230385624775622659e+02 2.244505643631775627e+02 2.257877015637190539e+02 2.271061225929920226e+02 2.284245436222649914e+02 2.299244161363360490e+02 2.315830586996053739e+02 2.332417012628746988e+02 2.346487674297549404e+02 2.353639985065652525e+02 2.360792295833755077e+02 2.367944606601858482e+02 2.216972451610871531e+01 2.669951129139519708e+01 3.122929806668165043e+01 3.575908484196811798e+01 4.128241650005617203e+01 4.716703720643570819e+01 5.305165791281524434e+01 5.953828640984403364e+01 6.671292381047180697e+01 7.388756121109960873e+01 8.117399403185495999e+01 8.890760853312058032e+01 9.664122303438620065e+01 1.043748375356518068e+02 1.111325791597144956e+02 1.178206155782627036e+02 1.245086519968109258e+02 1.304231373557495317e+02 1.359508471848833437e+02 1.414785570140171558e+02 1.468591076318636510e+02 1.520189194327792279e+02 1.571787312336948048e+02 1.623021992081276039e+02 1.671894323104223758e+02 1.720766654127171478e+02 1.769638985150119197e+02 1.815938796079651638e+02 1.861842834687120671e+02 1.907746873294589136e+02 1.951024120536891076e+02 1.992550173535748570e+02 2.034076226534605780e+02 2.072434580372344612e+02 2.104457535887847257e+02 2.136480491403350470e+02 2.167948686968005063e+02 2.191650243220784375e+02 2.215351799473563972e+02 2.239053355726343852e+02 2.253249403812855576e+02 2.265069074857799478e+02 2.276888745902743665e+02 2.282424471252566036e+02 2.282461744119156322e+02 2.282499016985747176e+02 2.279973103428665695e+02 2.270398427206485792e+02 2.260823750984306457e+02 2.251249074762126838e+02
8.000000000000000000e+00 5.194883878243345521e+01 5.661802561517485088e+01 6.128721244791624656e+01 6.595639928065764934e+01 7.024195930635396223e+01 7.438801867494296971e+01 7.853407804353197719e+01 8.189782259293401978e+01 8.436749306326518649e+01 8.683716353359636742e+01 8.924903046358323877e+01 9.142968323219295712e+01 9.361033600080267547e+01 9.579098876941239382e+01 9.786697030402865494e+01 9.993547532193112204e+01 1.020039803398335607e+02 1.039065623796458055e+02 1.057261829304129321e+02 1.075458034811800303e+02 1.091672658964326388e+02 1.104914911084134843e+02 1.118157163203943156e+02 1.131808341320791271e+02 1.148117538418397316e+02 1.164426735516003220e+02 1.180735932613609123e+02 1.201722818837156268e+02 1.223429349541617626e+02 1.245135880246078983e+02 1.269708416235615118e+02 1.296191622415201437e+02 1.322674828594787186e+02 1.351573786303532643e+02 1.385304247070596091e+02 1.419034707837659823e+02 1.451813808045886844e+02 1.471273860430405307e+02 1.490733912814924054e+02 1.510193965199442800e+02 1.521489665041215176e+02 1.530744276747300603e+02 1.539998888453386030e+02 1.545869741996894504e+02 1.548779807148147825e+02 1.551689872299401145e+02 1.554154245448560516e+02 1.555392965591960035e+02 1.556631685735359838e+02 1.557870405878759641e+02 4.217506116778383785e+01 4.573676172620989888e+01 4.929846228463597413e+01 5.286016284306202806e+01 5.632326585218979176e+01 5.975051520702724162e+01 6.317776456186470568e+01 6.647373028864990374e+01 6.961965758337535704e+01 7.276558487810081033e+01 7.590634589390482745e+01 7.902644179402315672e+01 8.214653769414147177e+01 8.526663359425980104e+01 8.790382952869502731e+01 9.050653260843861858e+01 9.310923568818220986e+01 9.545757154247112908e+01 9.767872378403272648e+01 9.989987602559432389e+01 1.021697722756729831e+02 1.045127845385272849e+02 1.068557968013815582e+02 1.092159539647435764e+02 1.116875529814057870e+02 1.141591519980679834e+02 1.166307510147302082e+02 1.190372374858906142e+02 1.214337066423584588e+02 1.238301757988262892e+02 1.260263644916297352e+02 1.280890328753235963e+02 1.301517012590174147e+02 1.321336998477438271e+02 1.339543588465353423e+02 1.357750178453268859e+02 1.375753563324646223e+02 1.390912076564492850e+02 1.406070589804339761e+02 1.421229103044186672e+02 1.432181938872614637e+02 1.442083355348187865e+02 1.451984771823761378e+02 1.458879831818770754e+02 1.463144329893286226e+02 1.467408827967801699e+02 1.470517731190775805e+02 1.470448748572011652e+02 1.470379765953247500e+02 1.470310783334483347e+02
9.000000000000000000e+00 1.911028059989802443e+02 1.992388422893469624e+02 2.073748785797136804e+02 2.155109148700803985e+02 2.198562626135962148e+02 2.228231781582571500e+02 2.257900937029180568e+02 2.280046298561289291e+02 2.293593038476825541e+02 2.307139778392362075e+02 2.318381404762006071e+02 2.320402576948081901e+02 2.322423749134157447e+02 2.324444921320232993e+02 2.302877660094569023e+02 2.279625510768066192e+02 2.256373361441563929e+02 2.227852695513138030e+02 2.196697771283751308e+02 2.165542847054364302e+02 2.135622340826561469e+02 2.107553461601135325e+02 2.079484582375708897e+02 2.051973720613684122e+02 2.028089972363765128e+02 2.004206224113846417e+02 1.980322475863927707e+02 1.960985074699196389e+02 1.942347111547570933e+02 1.923709148395945476e+02 1.900913758578606689e+02 1.875346750984125492e+02 1.849779743389644580e+02 1.823882688579311093e+02 1.797325539337273028e+02 1.770768390095234395e+02 1.744345722962976311e+02 1.719805805367635401e+02 1.695265887772294491e+02 1.670725970176953297e+02 1.647813931122158522e+02 1.625308861702500280e+02 1.602803792282842323e+02 1.583028308220290796e+02 1.565641211345207751e+02 1.548254114470124705e+02 1.531927705714637966e+02 1.518518189288041356e+02 1.505108672861444745e+02 1.491699156434847851e+02 2.764356346855516904e+02 2.869910230763526329e+02 2.975464114671535754e+02 3.081017998579545178e+02 3.133988540005861978e+02 3.167837865984290602e+02 3.201687191962719226e+02 3.209622307104077663e+02 3.187941181288785515e+02 3.166260055473493367e+02 3.137977385761042228e+02 3.083288540459958540e+02 3.028599695158874283e+02 2.973910849857790595e+02 2.900272318469993138e+02 2.825280238076001638e+02 2.750288157682010137e+02 2.672521844847101420e+02 2.593368415791732673e+02 2.514214986736364494e+02 2.439355929679927613e+02 2.370938430621889665e+02 2.302520931563851434e+02 2.236043679920843488e+02 2.182178036475536373e+02 2.128312393030229259e+02 2.074446749584922145e+02 2.031025831822195755e+02 1.989211794933713122e+02 1.947397758045229921e+02 1.910318877254610470e+02 1.876396767195899429e+02 1.842474657137188956e+02 1.811027932103562534e+02 1.784531977120105353e+02 1.758036022136648171e+02 1.731860199662905586e+02 1.710166232325168210e+02 1.688472264987431117e+02 1.666778297649693741e+02 1.648264280687266989e+02 1.630545251318667965e+02 1.612826221950069225e+02 1.595448644181876432e+02 1.578369836564039019e+02 1.561291028946201891e+02 1.544170967744347251e+02 1.526937459186445665e+02 1.509703950628543510e+02 1.492470442070641639e+02
