# Index	M_int	Con
0	5.701366e+11	5.463161e+02
1	3.569315e+11	7.591668e+01
2	3.341860e+11	3.023289e+02
3	5.834610e+11	1.051948e+02
4	3.849411e+11	5.751702e+02
5	5.089546e+11	5.988382e+02
6	2.685527e+11	7.096577e+01
7	3.130821e+11	8.307015e+02
8	2.348437e+11	1.071403e+02
9	2.690878e+11	3.445132e+02
10	2.058621e+11	6.860957e+01
11	5.134887e+11	6.043402e+02
12	3.332257e+11	2.434308e+02
13	4.158091e+11	3.767802e+02
14	3.021412e+11	2.627350e+02
15	1.488561e+11	1.529844e+01
16	4.570275e+11	7.846866e+02
17	2.317740e+11	5.881625e+01
18	2.283674e+11	5.677791e+02
19	3.893542e+11	3.170236e-03
20	4.706009e+11	8.188613e+02
21	2.798486e+11	3.837175e+02
22	5.299390e+11	1.063361e+01
23	5.528528e+11	5.013611e+02
24	2.887749e+11	1.825222e+01
25	2.235446e+11	3.210938e+02
26	3.762814e+11	1.948076e+00
27	3.533130e+11	7.023102e+02
28	4.439887e+11	4.644954e+01
29	6.531824e+11	1.318120e+02
30	2.853086e+11	3.871336e+02
31	2.190212e+11	7.041912e+01
32	4.084805e+11	1.498368e+02
33	2.766937e+11	2.697069e+02
34	3.912371e+11	4.064602e+01
35	3.357726e+11	3.793886e+02
36	4.175098e+11	2.760140e+02
37	5.259082e+11	1.263139e+02
38	5.196599e+11	1.918382e+02
39	6.836919e+11	3.749102e+02
40	2.866600e+11	4.716447e+03
41	4.133738e+11	1.396873e+02
42	4.618184e+11	4.724935e+02
43	1.642114e+11	8.905612e+00
44	5.356301e+11	3.180772e+03
45	6.604577e+11	5.236918e+02
46	2.327667e+11	7.381281e+01
47	5.531649e+11	4.769960e+02
48	1.809512e+11	4.890139e+01
49	4.624360e+11	5.268372e+02
50	3.061068e+11	2.145533e+02
51	5.971328e+11	3.578615e+02
52	3.165428e+11	5.852225e+01
53	2.950493e+11	1.197004e+02
54	4.776915e+11	2.129548e+02
55	1.766773e+11	6.726323e+01
